bid,use1_gf,use2_gf,steps_lb,steps_ub,f0_tag,f0_cap,f0_elv,f0_scale,f1_tag,f1_cap,f1_elv,f1_scale,f2_tag,f2_cap,f2_elv,f2_scale,f5_tag,f5_cap,f5_elv,f5_scale
254003,resi,mf,,,IBI2020_mf_struc_resi-mf-std,7790000.0,0.5,180.0,IBI2017_mf_cont_resi,1000000.0,0.5,180.0,IBI2020_cel_struc_bsmt,3895000.0,-2.2,180.0,IBI2020_gen_struc_resi-mf-std,3895000.0,0.5,180.0
316000,resi,sfd,0.9,3.0,IBI2020_mf_struc_resi-sfd-std,353000.0,0.3,230.0,IBI2017_mf_cont_resi,1000000.0,0.3,230.0,IBI2020_cel_struc_bsmt,176000.0,-2.4,230.0,IBI2020_gen_struc_resi-sfd-std,176000.0,0.3,230.0
317000,resi,mf,-0.2,1.8,IBI2020_mf_struc_resi-mf-std,1988000.0,0.1,1840.0,IBI2017_mf_cont_resi,1000000.0,0.1,1840.0,IBI2020_cel_struc_bsmt,994000.0,-2.6,1840.0,IBI2020_gen_struc_resi-mf-std,994000.0,0.1,1840.0
314000,resi,sfd,-1.0,1.0,IBI2020_mf_struc_resi-sfd-std,218000.0,0.0,240.0,IBI2017_mf_cont_resi,1000000.0,0.0,240.0,IBI2020_cel_struc_crwl,109000.0,-2.7,240.0,IBI2020_gen_struc_resi-sfd-std,109000.0,0.0,240.0
279000,resi,sfd,0.9,3.0,IBI2020_mf_struc_resi-sfd-std,153000.0,0.3,260.0,IBI2017_mf_cont_resi,1000000.0,0.3,260.0,IBI2020_cel_struc_bsmt,76000.0,-2.4,260.0,IBI2020_gen_struc_resi-sfd-std,76000.0,0.3,260.0
277000,resi,sfd,7.0,10.0,IBI2020_mf_struc_resi-sfd-std,225000.0,1.3,130.0,IBI2017_mf_cont_resi,1000000.0,1.3,130.0,IBI2020_cel_struc_bsmt,112000.0,-1.4,130.0,IBI2020_gen_struc_resi-sfd-std,112000.0,1.3,130.0
278000,resi,sfd,0.8,2.9,IBI2020_mf_struc_resi-sfd-std,335000.0,0.3,410.0,IBI2017_mf_cont_resi,1000000.0,0.3,410.0,IBI2020_cel_struc_crwl,168000.0,-2.4,410.0,IBI2020_gen_struc_resi-sfd-std,168000.0,0.3,410.0
274000,resi,mf,-0.5,1.5,IBI2020_mf_struc_resi-mf-std,242000.0,0.1,2270.0,IBI2017_mf_cont_resi,1000000.0,0.1,2270.0,IBI2020_cel_struc_bsmt,121000.0,-2.6,2270.0,IBI2020_gen_struc_resi-mf-std,121000.0,0.1,2270.0
275000,resi,mf,0.9,3.0,IBI2020_mf_struc_resi-mf-std,142000.0,0.3,60.0,IBI2017_mf_cont_resi,1000000.0,0.3,60.0,IBI2020_cel_struc_bsmt,71000.0,-2.4,60.0,IBI2020_gen_struc_resi-mf-std,71000.0,0.3,60.0
272000,resi,sfd,1.0,3.1,IBI2020_mf_struc_resi-sfd-std,47000.0,0.3,100.0,IBI2017_mf_cont_resi,1000000.0,0.3,100.0,,,,,IBI2020_gen_struc_resi-sfd-std,24000.0,0.3,100.0
273000,resi,sfd,1.0,3.1,IBI2020_mf_struc_resi-sfd-std,124000.0,0.3,130.0,IBI2017_mf_cont_resi,1000000.0,0.3,130.0,IBI2020_cel_struc_crwl,62000.0,-2.4,130.0,IBI2020_gen_struc_resi-sfd-std,62000.0,0.3,130.0
270000,resi,sfd,-1.0,1.0,IBI2020_mf_struc_resi-sfd-std,44000.0,0.0,90.0,IBI2017_mf_cont_resi,1000000.0,0.0,90.0,,,,,IBI2020_gen_struc_resi-sfd-std,22000.0,0.0,90.0
271000,resi,sfd,1.0,3.1,IBI2020_mf_struc_resi-sfd-std,44000.0,0.3,70.0,IBI2017_mf_cont_resi,1000000.0,0.3,70.0,,,,,IBI2020_gen_struc_resi-sfd-std,22000.0,0.3,70.0
267000,resi,sfd,1.0,3.1,IBI2020_mf_struc_resi-sfd-std,164000.0,0.3,150.0,IBI2017_mf_cont_resi,1000000.0,0.3,150.0,IBI2020_cel_struc_bsmt,82000.0,-2.4,150.0,IBI2020_gen_struc_resi-sfd-std,82000.0,0.3,150.0
269000,resi,sfd,-1.0,1.0,IBI2020_mf_struc_resi-sfd-std,44000.0,0.0,60.0,IBI2017_mf_cont_resi,1000000.0,0.0,60.0,,,,,IBI2020_gen_struc_resi-sfd-std,22000.0,0.0,60.0
264000,resi,sfd,1.0,3.0,IBI2020_mf_struc_resi-sfd-std,242000.0,0.3,200.0,IBI2017_mf_cont_resi,1000000.0,0.3,200.0,IBI2020_cel_struc_bsmt,121000.0,-2.4,200.0,IBI2020_gen_struc_resi-sfd-std,121000.0,0.3,200.0
265000,resi,sfd,3.0,6.0,IBI2020_mf_struc_resi-sfd-std,108000.0,0.7,200.0,IBI2017_mf_cont_resi,1000000.0,0.7,200.0,IBI2020_cel_struc_crwl,54000.0,-2.0,200.0,IBI2020_gen_struc_resi-sfd-std,54000.0,0.7,200.0
261000,resi,mf,0.4,2.5,IBI2020_mf_struc_resi-mf-std,21000.0,0.2,780.0,IBI2017_mf_cont_resi,1000000.0,0.2,780.0,IBI2020_cel_struc_bsmt,10000.0,-2.5,780.0,IBI2020_gen_struc_resi-mf-std,10000.0,0.2,780.0
291001,nrp,retail,-0.9,1.1,IBI2020_mf_struc_nrp-retail-s1,127000.0,0.0,360.0,okNRP_mf_cont_nrp-retail,1000000.0,0.0,360.0,IBI2020_cel_struc_bsmt,64000.0,-2.7,360.0,IBI2020_gen_struc_nrp-retail-5,64000.0,0.0,360.0
254001,resi,sfd,1.0,3.1,IBI2020_mf_struc_resi-sfd-std,10000.0,0.3,100.0,IBI2017_mf_cont_resi,1000000.0,0.3,100.0,IBI2020_cel_struc_bsmt,10000.0,-2.4,100.0,IBI2020_gen_struc_resi-sfd-std,3000.0,0.3,100.0
293000,resi,sfd,1.0,3.0,IBI2020_mf_struc_resi-sfd-std,286000.0,0.3,170.0,IBI2017_mf_cont_resi,1000000.0,0.3,170.0,IBI2020_cel_struc_bsmt,143000.0,-2.4,170.0,IBI2020_gen_struc_resi-sfd-std,143000.0,0.3,170.0
291000,nrp,retail,-1.0,1.0,IBI2020_mf_struc_nrp-retail-s1,127000.0,0.0,120.0,okNRP_mf_cont_nrp-retail,1000000.0,0.0,120.0,IBI2020_cel_struc_bsmt,64000.0,-2.7,120.0,IBI2020_gen_struc_nrp-retail-5,64000.0,0.0,120.0
288000,resi,sfd,3.0,6.0,IBI2020_mf_struc_resi-sfd-std,156000.0,0.7,110.0,IBI2017_mf_cont_resi,1000000.0,0.7,110.0,IBI2020_cel_struc_bsmt,78000.0,-2.0,110.0,IBI2020_gen_struc_resi-sfd-std,78000.0,0.7,110.0
289000,resi,sfd,1.0,3.1,IBI2020_mf_struc_resi-sfd-std,123000.0,0.3,100.0,IBI2017_mf_cont_resi,1000000.0,0.3,100.0,IBI2020_cel_struc_bsmt,62000.0,-2.4,100.0,IBI2020_gen_struc_resi-sfd-std,62000.0,0.3,100.0
286000,resi,sfd,1.0,3.0,IBI2020_mf_struc_resi-sfd-std,70000.0,0.3,190.0,IBI2017_mf_cont_resi,1000000.0,0.3,190.0,IBI2020_cel_struc_crwl,35000.0,-2.4,190.0,IBI2020_gen_struc_resi-sfd-std,35000.0,0.3,190.0
287000,resi,mf,0.4,2.5,IBI2020_mf_struc_resi-mf-std,72000.0,0.2,790.0,IBI2017_mf_cont_resi,1000000.0,0.2,790.0,IBI2020_cel_struc_bsmt,36000.0,-2.5,790.0,IBI2020_gen_struc_resi-mf-std,36000.0,0.2,790.0
284000,resi,sfd,1.0,3.1,IBI2020_mf_struc_resi-sfd-std,71000.0,0.3,70.0,IBI2017_mf_cont_resi,1000000.0,0.3,70.0,IBI2020_cel_struc_crwl,35000.0,-2.4,70.0,IBI2020_gen_struc_resi-sfd-std,35000.0,0.3,70.0
285000,nrp,rest,-1.0,1.0,IBI2020_mf_struc_nrp-rest-std,99000.0,0.0,730.0,okNRP_mf_cont_nrp-6x,1000000.0,0.0,730.0,IBI2020_cel_struc_bsmt,50000.0,-2.7,730.0,IBI2020_gen_struc_nrp-rest-std,50000.0,0.0,730.0
207004,resi,mh,1.7,4.2,IBI2017_mh_struc,37000.0,0.4,40.0,IBI2017_mf_cont_resi,1000000.0,0.4,40.0,,,,,,,,
282000,resi,mf,0.6,2.8,IBI2020_mf_struc_resi-mf-std,53000.0,0.3,410.0,IBI2017_mf_cont_resi,1000000.0,0.3,410.0,IBI2020_cel_struc_bsmt,27000.0,-2.4,410.0,IBI2020_gen_struc_resi-mf-std,27000.0,0.3,410.0
241000,nrp,rest,-1.0,0.8,IBI2020_mf_struc_nrp-rest-std,146000.0,0.0,210.0,okNRP_mf_cont_nrp-6x,1000000.0,0.0,210.0,IBI2020_cel_struc_bsmt,73000.0,-2.7,210.0,IBI2020_gen_struc_nrp-rest-std,73000.0,0.0,210.0
237001,resi,sfd,1.0,3.1,IBI2020_mf_struc_resi-sfd-std,32000.0,0.3,110.0,IBI2017_mf_cont_resi,1000000.0,0.3,110.0,IBI2020_cel_struc_crwl,16000.0,-2.4,110.0,IBI2020_gen_struc_resi-sfd-std,16000.0,0.3,110.0
240000,resi,sfd,1.0,2.0,IBI2020_mf_struc_resi-sfd-std,123000.0,0.2,200.0,IBI2017_mf_cont_resi,1000000.0,0.2,200.0,IBI2020_cel_struc_bsmt,62000.0,-2.5,200.0,IBI2020_gen_struc_resi-sfd-std,62000.0,0.2,200.0
237000,resi,sfd,1.0,2.0,IBI2020_mf_struc_resi-sfd-std,32000.0,0.2,120.0,IBI2017_mf_cont_resi,1000000.0,0.2,120.0,IBI2020_cel_struc_crwl,16000.0,-2.5,120.0,IBI2020_gen_struc_resi-sfd-std,16000.0,0.2,120.0
238000,resi,mf,-0.1,2.0,IBI2020_mf_struc_resi-mf-std,1271000.0,0.1,1570.0,IBI2017_mf_cont_resi,1000000.0,0.1,1570.0,IBI2020_cel_struc_bsmt,635000.0,-2.6,1570.0,IBI2020_gen_struc_resi-mf-std,635000.0,0.1,1570.0
235000,resi,sfd,-1.0,1.0,IBI2020_mf_struc_resi-sfd-std,364000.0,0.0,200.0,IBI2017_mf_cont_resi,1000000.0,0.0,200.0,IBI2020_cel_struc_bsmt,182000.0,-2.7,200.0,IBI2020_gen_struc_resi-sfd-std,182000.0,0.0,200.0
233000,resi,sfd,1.0,3.0,IBI2020_mf_struc_resi-sfd-std,136000.0,0.3,230.0,IBI2017_mf_cont_resi,1000000.0,0.3,230.0,IBI2020_cel_struc_bsmt,68000.0,-2.4,230.0,IBI2020_gen_struc_resi-sfd-std,68000.0,0.3,230.0
234000,resi,mf,-0.8,1.1,IBI2020_mf_struc_resi-mf-std,4489000.0,0.0,2850.0,IBI2017_mf_cont_resi,1000000.0,0.0,2850.0,IBI2020_cel_struc_bsmt,2244000.0,-2.7,2850.0,IBI2020_gen_struc_resi-mf-std,2244000.0,0.0,2850.0
231000,resi,sfd,1.0,2.0,IBI2020_mf_struc_resi-sfd-std,140000.0,0.2,100.0,IBI2017_mf_cont_resi,1000000.0,0.2,100.0,IBI2020_cel_struc_bsmt,70000.0,-2.5,100.0,IBI2020_gen_struc_resi-sfd-std,70000.0,0.2,100.0
232000,resi,sfd,1.0,2.0,IBI2020_mf_struc_resi-sfd-std,162000.0,0.2,110.0,IBI2017_mf_cont_resi,1000000.0,0.2,110.0,IBI2020_cel_struc_bsmt,81000.0,-2.5,110.0,IBI2020_gen_struc_resi-sfd-std,81000.0,0.2,110.0
229000,resi,sfd,1.0,3.0,IBI2020_mf_struc_resi-sfd-std,202000.0,0.3,190.0,IBI2017_mf_cont_resi,1000000.0,0.3,190.0,IBI2020_cel_struc_bsmt,101000.0,-2.4,190.0,IBI2020_gen_struc_resi-sfd-std,101000.0,0.3,190.0
