xid,0.2,0.05,0.01,0.005,0.002,0.0,ead
408,0.0,383.98563,659.90838,891.02457,1169.91246,1355.83772,59.17129
409,,0.0,0.0,0.0,0.0,,0.0
410,,0.0,0.0,0.0,0.0,,0.0
411,,0.0,0.0,0.0,0.0,,0.0
417,0.0,4296.01326,6263.30463,7457.63568,7805.64675,8037.65413,606.42793
418,,0.0,0.0,0.0,0.0,,0.0
419,0.0,0.0,0.0,194.36544,1334.98368,2095.39584,6.21032
420,,0.0,0.0,0.0,0.0,,0.0
421,0.0,11681.1072,12911.2704,13360.7232,13440.0384,13492.9152,1500.74467
422,,0.0,0.0,0.0,0.0,,0.0
425,0.0,351.03548,581.22268,615.75076,627.26012,634.93303,51.09197
428,0.0,641.94278,800.92185,965.92742,1073.9223,1145.91889,86.69974
430,,0.0,0.0,0.0,0.0,,0.0
432,,0.0,0.0,0.0,0.0,,0.0
433,,0.0,0.0,0.0,0.0,,0.0
434,,0.0,0.0,0.0,0.0,,0.0
435,0.0,284.98964,363.1498,603.16048,1472.8766,2052.68735,43.39241
436,0.0,9401.23582,11739.13692,12656.0121,13037.39038,13291.64257,1253.75715
438,0.0,513.03447,3435.66405,8767.88874,12086.86986,14299.52394,205.62897
439,,0.0,0.0,0.0,0.0,,0.0
440,,0.0,0.0,0.0,0.0,,0.0
442,,0.0,0.0,0.0,0.0,,0.0
444,0.0,143199.9,143199.9,143199.9,143199.9,143199.9,17899.9875
447,0.0,4196.6721,4199.61861,4202.98605,4202.98605,4202.98605,524.69766
449,,0.0,0.0,0.0,0.0,,0.0
450,0.0,3786.64905,3786.64905,3786.64905,3786.64905,3786.64905,473.33113
452,,0.0,0.0,0.0,0.0,,0.0
457,,0.0,0.0,0.0,0.0,,0.0
466,,0.0,0.0,0.0,0.0,,0.0
467,,0.0,0.0,0.0,0.0,,0.0
469,,0.0,0.0,0.0,0.0,,0.0
470,0.0,2250.18398,4543.1833,8491.7091,14297.94493,18168.76882,403.86957
