xid,0.2,0.05,0.01,0.005,0.002,0.0,ead
111,0.0,4203.2275,5201.003,17598.56,24001.6075,28270.30583,674.99774
112,0.0,0.0,0.0,2998.7304,1801.3956,1003.1724,17.50158
113,0.0,121.6306,11599.0148,12999.7716,12999.7716,12999.7716,370.03103
114,,0.0,0.0,0.0,0.0,,0.0
115,,0.0,0.0,0.0,0.0,,0.0
116,,0.0,0.0,0.0,0.0,,0.0
117,,0.0,0.0,0.0,0.0,,0.0
118,,0.0,0.0,0.0,0.0,,0.0
119,,0.0,0.0,0.0,0.0,,0.0
120,,0.0,0.0,0.0,0.0,,0.0
121,,0.0,0.0,0.0,0.0,,0.0
122,,0.0,0.0,0.0,0.0,,0.0
123,,0.0,0.0,0.0,0.0,,0.0
124,,0.0,0.0,0.0,0.0,,0.0
125,,0.0,0.0,0.0,0.0,,0.0
126,,0.0,0.0,0.0,0.0,,0.0
127,0.0,0.0,0.0,0.0,1001.9304,1669.884,4.17471
128,,0.0,0.0,0.0,0.0,,0.0
129,,0.0,0.0,0.0,0.0,,0.0
130,,0.0,0.0,0.0,0.0,,0.0
131,,0.0,0.0,0.0,0.0,,0.0
132,,0.0,0.0,0.0,0.0,,0.0
133,,0.0,0.0,0.0,0.0,,0.0
134,,0.0,0.0,0.0,0.0,,0.0
135,0.0,322.3234,900.6095,900.6095,1801.219,2401.62533,61.39155
136,,0.0,0.0,0.0,0.0,,0.0
137,0.0,647.9044,1626.6536,1626.6536,2598.5102,3246.4146,114.39993
138,0.0,54.3626,502.0546,898.5818,1199.175,1399.57047,24.45251
139,0.0,0.0,0.0,326.0345,1200.5741,1783.6005,6.08917
140,,0.0,0.0,0.0,0.0,,0.0
141,0.0,0.0,0.0,0.0,2396.154,3993.59,9.98398
142,0.0,0.0,6064.0408,13644.0918,469963.162,774175.87547,2140.10107
143,,0.0,0.0,0.0,0.0,,0.0
144,0.0,0.0,65.8905,76.0275,461.2335,718.0375,3.65777
145,,0.0,0.0,0.0,0.0,,0.0
146,,0.0,0.0,0.0,0.0,,0.0
147,0.0,0.0,0.0,647.9704,21774.7068,35859.19773,92.88785
148,0.0,12672.7055,22420.9405,25997.7365,33473.8265,38457.8865,1934.51158
149,,0.0,0.0,0.0,0.0,,0.0
150,,0.0,0.0,0.0,0.0,,0.0
151,0.0,244.6612,4875.7482,7802.9447,8449.5493,8880.61903,194.16342
152,,0.0,0.0,0.0,0.0,,0.0
153,0.0,6175.3826,20800.1154,33797.4008,31200.1731,29468.68797,1297.32267
154,0.0,14950.527,35425.722,41596.55,47121.218,50804.33,2552.37238
155,0.0,328.3232,2276.0032,2598.7616,5197.5232,6930.03093,112.71966
156,0.0,3310.2594,30028.7817,73456.2324,190497.5469,268525.0899,2028.71612
157,0.0,0.0,189.0665,248.4874,4224.2858,6874.81807,22.68348
158,0.0,1499.526,12297.7,15598.244,23095.874,28094.294,567.38018
159,,0.0,0.0,0.0,0.0,,0.0
160,,0.0,0.0,0.0,0.0,,0.0
161,0.0,74425.5912,133259.3856,139751.2938,139751.2938,139751.2938,11116.90204
162,,0.0,0.0,0.0,0.0,,0.0
163,0.0,51.6048,197.8184,447.2416,533.2496,590.58827,13.06605
164,,0.0,0.0,0.0,0.0,,0.0
165,,0.0,0.0,0.0,0.0,,0.0
166,,0.0,0.0,0.0,0.0,,0.0
167,0.0,0.0,228.046,228.046,599.872,847.756,8.39066
168,0.0,0.0,13.158,355.266,974.7885,1387.8035,5.54189
169,0.0,922.188,899.877,899.877,2999.59,4399.39867,123.35297
170,0.0,131.014,905.0044,1057.1822,1118.658,1159.64187,40.99394
171,,0.0,0.0,0.0,0.0,,0.0
172,0.0,0.0,60.6116,272.7522,4485.2584,7293.59587,20.96151
173,,0.0,0.0,0.0,0.0,,0.0
174,0.0,0.0,0.0,6.4758,608.7252,1010.2248,2.55794
175,,0.0,0.0,0.0,0.0,,0.0
176,0.0,0.0,0.0,0.0,649.5897,1082.6495,2.70662
177,,0.0,0.0,0.0,0.0,,0.0
178,0.0,0.0,115.6101,311.9889,2274.7211,3583.20923,13.11919
179,0.0,1048.5372,5242.686,5504.8203,13281.4712,18465.90513,291.26033
180,0.0,19.4378,400.19,1300.0458,7800.2748,12133.7608,47.6855
181,,0.0,0.0,0.0,0.0,,0.0
182,,0.0,0.0,0.0,0.0,,0.0
183,0.0,13773.5224,46710.2064,59884.88,102403.1448,130748.65467,2985.76031
184,0.0,398.2968,3250.7456,4876.1184,15923.8256,23288.96373,193.58297
185,0.0,2275.2366,3250.338,3575.3718,3900.4056,4117.0948,317.44968
186,,0.0,0.0,0.0,0.0,,0.0
187,0.0,52492.548,65996.6793,72727.5786,73489.5672,73997.5596,7020.34914
188,0.0,8413.3158,35055.4825,49077.6755,96753.1317,128536.76917,2154.74366
