xid,MapID,FacilityID,FacilityNa,f0_elv,f0_scale
1,W-12,178628,Swick Pump Station,0.5,0.5
2,W-4,4387,,0.5,0.5
3,W-36,4625,Lakepine Pump Station,0.5,0.7
4,W-27,WPS-0004,Okanagan Lake Booster Station,0.5,1.1
5,W-30,WCS-0002,Trepanier Creek Chlorinator,0.5,1.0
6,W-6,WP-4,,0.5,7.0
7,W-7,WP-16,,0.5,1.0
8,W-41,,,0.5,1.0
9,W-40,,,0.5,1.8
