bid,0.2,0.05,0.01,0.005,0.002,0.0,ead
109000,0.0,0.59,0.59,0.59,0.59,0.59,0.074
110000,,0.0,0.0,0.0,0.0,,0.0
111000,,0.0,0.0,0.0,0.0,,0.0
112000,,0.0,0.0,0.0,0.0,,0.0
114000,,0.0,0.0,0.0,0.0,,0.0
119000,,0.0,0.0,0.0,0.0,,0.0
123000,,0.0,0.0,0.0,0.0,,0.0
124000,,0.0,0.0,0.0,0.0,,0.0
127000,0.0,0.0,0.0,0.0,1.06,1.767,0.004
129000,,0.0,0.0,0.0,0.0,,0.0
131000,,0.0,0.0,0.0,0.0,,0.0
134000,0.0,0.0,0.0,1.06,1.06,1.06,0.008
136000,,0.0,0.0,0.0,0.0,,0.0
144000,,0.0,0.0,0.0,0.0,,0.0
145000,,0.0,0.0,0.0,0.0,,0.0
146000,,0.0,0.0,0.0,0.0,,0.0
146001,,0.0,0.0,0.0,0.0,,0.0
146002,,0.0,0.0,0.0,0.0,,0.0
151000,,0.0,0.0,0.0,0.0,,0.0
156001,,0.0,0.0,0.0,0.0,,0.0
159000,0.0,0.0,0.0,0.78,0.78,0.78,0.006
160001,0.0,0.0,0.78,0.78,0.78,0.78,0.023
162000,,0.0,0.0,0.0,0.0,,0.0
162001,,0.0,0.0,0.0,0.0,,0.0
173000,0.0,0.0,0.0,0.59,0.59,0.59,0.004
174000,,0.0,0.0,0.0,0.0,,0.0
177000,,0.0,0.0,0.0,0.0,,0.0
180000,,0.0,0.0,0.0,0.0,,0.0
181000,0.0,0.68,0.68,0.68,0.68,0.68,0.085
182000,0.0,0.0,0.54,0.54,0.54,0.54,0.016
183000,0.0,0.0,0.0,0.71,0.71,0.71,0.005
184001,,0.0,0.0,0.0,0.0,,0.0
186001,0.0,0.0,0.0,0.78,0.78,0.78,0.006
188000,0.0,0.0,0.0,0.71,0.71,0.71,0.005
189000,0.0,0.96,0.96,0.96,0.96,0.96,0.12
190000,0.0,0.71,0.71,0.71,0.71,0.71,0.089
191000,,0.0,0.0,0.0,0.0,,0.0
191001,,0.0,0.0,0.0,0.0,,0.0
192000,,0.0,0.0,0.0,0.0,,0.0
193000,,0.0,0.0,0.0,0.0,,0.0
194000,,0.0,0.0,0.0,0.0,,0.0
195000,,0.0,0.0,0.0,0.0,,0.0
196000,0.0,0.0,0.78,0.78,0.78,0.78,0.023
200000,0.0,0.0,0.0,0.0,1.06,1.767,0.004
203000,,0.0,0.0,0.0,0.0,,0.0
204000,,0.0,0.0,0.0,0.0,,0.0
205000,0.0,0.0,0.0,0.96,0.96,0.96,0.007
207000,0.0,0.0,0.5,0.5,0.5,0.5,0.015
207001,0.0,0.0,0.5,0.5,0.5,0.5,0.015
207002,0.0,0.0,0.0,0.5,0.5,0.5,0.004
207003,0.0,0.0,0.5,0.5,0.5,0.5,0.015
207004,0.0,0.0,0.0,0.5,0.5,0.5,0.004
207005,0.0,0.5,0.5,0.5,0.5,0.5,0.062
207006,0.0,0.5,0.5,0.5,0.5,0.5,0.062
207007,0.0,0.5,0.5,0.5,0.5,0.5,0.062
207008,0.0,0.5,0.5,0.5,0.5,0.5,0.062
207009,0.0,0.0,0.5,0.5,0.5,0.5,0.015
207010,0.0,0.5,0.5,0.5,0.5,0.5,0.062
207011,0.0,0.5,0.5,0.5,0.5,0.5,0.062
207012,0.0,0.5,0.5,0.5,0.5,0.5,0.062
207013,0.0,0.5,0.5,0.5,0.5,0.5,0.062
207014,0.0,0.5,0.5,0.5,0.5,0.5,0.062
207015,0.0,0.0,0.5,0.5,0.5,0.5,0.015
207016,0.0,0.5,0.5,0.5,0.5,0.5,0.062
207017,0.0,0.0,0.5,0.5,0.5,0.5,0.015
207018,0.0,0.0,0.5,0.5,0.5,0.5,0.015
207019,0.0,0.5,0.5,0.5,0.5,0.5,0.062
207020,0.0,0.0,0.5,0.5,0.5,0.5,0.015
207021,0.0,0.5,0.5,0.5,0.5,0.5,0.062
207022,0.0,0.5,0.5,0.5,0.5,0.5,0.062
207023,0.0,0.5,0.5,0.5,0.5,0.5,0.062
207024,0.0,0.0,0.5,0.5,0.5,0.5,0.015
207025,0.0,0.5,0.5,0.5,0.5,0.5,0.062
