xid,0.2,0.05,0.01,0.005,0.002,0.0,ead
106,,0.0,0.0,0.0,0.0,,0.0
107,0.0,0.0,0.0,0.0,1199.9511,1999.9185,4.9998
108,,0.0,0.0,0.0,0.0,,0.0
109,,0.0,0.0,0.0,0.0,,0.0
110,,0.0,0.0,0.0,0.0,,0.0
111,0.0,4203.2275,5201.003,17598.56,24001.6075,28270.30583,674.99774
112,0.0,0.0,0.0,2998.7304,1801.3956,1003.1724,17.50158
113,0.0,121.6306,11599.0148,12999.7716,12999.7716,12999.7716,370.03103
114,,0.0,0.0,0.0,0.0,,0.0
115,,0.0,0.0,0.0,0.0,,0.0
116,,0.0,0.0,0.0,0.0,,0.0
117,0.0,0.0,0.0,2801.55,98300.0,161965.63333,418.92183
118,,0.0,0.0,0.0,0.0,,0.0
119,,0.0,0.0,0.0,0.0,,0.0
120,,0.0,0.0,0.0,0.0,,0.0
121,,0.0,0.0,0.0,0.0,,0.0
122,,0.0,0.0,0.0,0.0,,0.0
123,,0.0,0.0,0.0,0.0,,0.0
124,,0.0,0.0,0.0,0.0,,0.0
125,0.0,0.0,0.0,0.0,799.7247,1332.8745,3.33219
126,0.0,0.0,0.0,408.3345,38201.961,63397.712,160.53595
127,0.0,0.0,1198.2546,15001.8768,46000.791,66666.7338,268.63695
128,,0.0,0.0,0.0,0.0,,0.0
129,,0.0,0.0,0.0,0.0,,0.0
130,,0.0,0.0,0.0,0.0,,0.0
131,,0.0,0.0,0.0,0.0,,0.0
132,,0.0,0.0,0.0,0.0,,0.0
133,0.0,0.0,0.0,1501.0758,7499.9988,11499.2808,36.25358
134,0.0,0.0,0.0,0.0,231.2268,385.378,0.96344
135,0.0,900.6095,1801.219,2995.7116,8399.3686,12001.8066,171.0684
136,,0.0,0.0,0.0,0.0,,0.0
137,0.0,1950.6058,3901.2116,10400.9334,25020.138,34766.2744,412.00516
138,0.0,898.5818,1800.3614,2401.5478,5999.0728,8397.4228,158.8747
139,0.0,326.0345,1200.5741,1200.5741,7199.6089,11198.96543,91.98648
140,0.0,0.0,0.0,485.3233,1197.551,1672.36947,6.60754
141,0.0,0.0,2396.154,3296.7774,5098.0242,6298.8554,86.14449
142,0.0,13644.0918,563197.7893,1281028.619,2221712.9481,2848835.83417,27495.37166
143,0.0,0.0,0.0,0.0,157493.5164,262489.194,656.22298
144,0.0,76.0275,461.2335,649.7817,975.1794,1192.1112,23.82955
145,,0.0,0.0,0.0,0.0,,0.0
146,,0.0,0.0,0.0,0.0,,0.0
147,0.0,647.9704,24047.4388,31847.2616,37374.3524,41059.0796,864.50857
148,0.0,25997.7365,33796.3245,37695.6185,44849.2105,49618.27183,3542.72604
149,,0.0,0.0,0.0,0.0,,0.0
150,,0.0,0.0,0.0,0.0,,0.0
151,0.0,244.6612,4875.7482,7802.9447,8449.5493,8880.61903,194.16342
152,,0.0,0.0,0.0,0.0,,0.0
153,0.0,6175.3826,20800.1154,33797.4008,31200.1731,29468.68797,1297.32267
154,0.0,14950.527,35425.722,41596.55,47121.218,50804.33,2552.37238
155,0.0,2598.7616,5525.8464,6822.4448,8775.6896,10077.8528,430.52075
156,0.0,75741.8877,202477.5333,288701.9091,403457.5683,479961.3411,14394.63673
157,0.0,248.4874,5202.0297,9426.3155,18523.1151,24587.64817,249.25267
158,0.0,15598.244,24293.908,29395.47,39598.594,46400.67667,2291.42515
159,,0.0,0.0,0.0,0.0,,0.0
160,,0.0,0.0,0.0,0.0,,0.0
161,0.0,74425.5912,133259.3856,139751.2938,139751.2938,139751.2938,11116.90204
162,,0.0,0.0,0.0,0.0,,0.0
163,0.0,51.6048,197.8184,447.2416,533.2496,590.58827,13.06605
164,,0.0,0.0,0.0,0.0,,0.0
165,,0.0,0.0,0.0,0.0,,0.0
166,,0.0,0.0,0.0,0.0,,0.0
167,0.0,228.046,599.872,599.872,599.872,599.872,39.66053
168,0.0,355.266,974.7885,974.7885,1299.3525,1515.7285,64.34628
169,0.0,899.877,2999.59,3299.549,6600.3375,8800.86317,191.47899
170,0.0,1057.1822,1118.658,1118.658,2400.0757,3254.35417,139.33129
171,,0.0,0.0,0.0,0.0,,0.0
172,0.0,272.7522,6758.1934,28487.452,84765.3226,122283.903,626.11783
