bid,0.2,0.05,0.01,0.005,0.002,0.0,ead
21649001,0.0,0.0,0.0,1.0,1.0,1.0,0.008
21670000,0.0,0.0,0.0,1.0,1.0,1.0,0.008
21673000,,0.0,0.0,0.0,0.0,,0.0
21714000,0.0,0.0,1.0,1.0,1.0,1.0,0.03
21848000,0.0,0.0,0.0,0.0,1.0,1.667,0.004
21888000,0.0,0.0,1.0,1.0,1.0,1.0,0.03
21904000,0.0,0.0,0.0,1.0,1.0,1.0,0.008
21925000,0.0,1.0,1.0,1.0,1.0,1.0,0.125
22005000,0.0,0.0,0.0,1.0,1.0,1.0,0.008
22012000,0.0,1.0,1.0,1.0,1.0,1.0,0.125
22031001,0.0,0.0,0.0,1.0,1.0,1.0,0.008
22040000,0.0,0.0,0.0,0.0,1.0,1.667,0.004
22219000,,0.0,0.0,0.0,0.0,,0.0
22685000,,0.0,0.0,0.0,0.0,,0.0
22685001,,0.0,0.0,0.0,0.0,,0.0
22685002,,0.0,0.0,0.0,0.0,,0.0
22685003,0.0,0.0,0.0,0.0,1.0,1.667,0.004
23333000,0.0,0.0,0.0,1.0,1.0,1.0,0.008
23340000,0.0,0.0,0.0,1.0,1.0,1.0,0.008
23500000,,0.0,0.0,0.0,0.0,,0.0
23726000,,0.0,0.0,0.0,0.0,,0.0
24438000,,0.0,0.0,0.0,0.0,,0.0
24462000,,0.0,0.0,0.0,0.0,,0.0
24462001,,0.0,0.0,0.0,0.0,,0.0
24670001,,0.0,0.0,0.0,0.0,,0.0
26347000,,0.0,0.0,0.0,0.0,,0.0
26347001,,0.0,0.0,0.0,0.0,,0.0
26347002,,0.0,0.0,0.0,0.0,,0.0
26700001,,0.0,0.0,0.0,0.0,,0.0
27010001,,0.0,0.0,0.0,0.0,,0.0
