bid,0.2,0.05,0.01,0.005,0.002,0.0,ead
12226001,,0.0,0.0,0.0,0.0,,0.0
12226002,,0.0,0.0,0.0,0.0,,0.0
12232000,,0.0,0.0,0.0,0.0,,0.0
12260000,,0.0,0.0,0.0,0.0,,0.0
12322000,,0.0,0.0,0.0,0.0,,0.0
12863000,,0.0,0.0,0.0,0.0,,0.0
12863001,,0.0,0.0,0.0,0.0,,0.0
12939001,,0.0,0.0,0.0,0.0,,0.0
13235000,,0.0,0.0,0.0,0.0,,0.0
13235001,,0.0,0.0,0.0,0.0,,0.0
13257000,,0.0,0.0,0.0,0.0,,0.0
13626000,,0.0,0.0,0.0,0.0,,0.0
13629000,,0.0,0.0,0.0,0.0,,0.0
13629001,0.0,0.0,1.0,1.0,1.0,1.0,0.03
13629002,,0.0,0.0,0.0,0.0,,0.0
13673000,,0.0,0.0,0.0,0.0,,0.0
13841000,,0.0,0.0,0.0,0.0,,0.0
13923000,,0.0,0.0,0.0,0.0,,0.0
13936000,,0.0,0.0,0.0,0.0,,0.0
14047000,0.0,0.0,0.0,1.0,1.0,1.0,0.008
14047001,0.0,0.0,0.0,0.0,1.0,1.667,0.004
14327000,0.0,0.0,0.0,0.0,1.0,1.667,0.004
14707000,,0.0,0.0,0.0,0.0,,0.0
14721000,,0.0,0.0,0.0,0.0,,0.0
15058000,,0.0,0.0,0.0,0.0,,0.0
15138000,,0.0,0.0,0.0,0.0,,0.0
15138001,,0.0,0.0,0.0,0.0,,0.0
15171000,,0.0,0.0,0.0,0.0,,0.0
15188001,,0.0,0.0,0.0,0.0,,0.0
15188002,,0.0,0.0,0.0,0.0,,0.0
15188003,,0.0,0.0,0.0,0.0,,0.0
15188004,,0.0,0.0,0.0,0.0,,0.0
15380000,,0.0,0.0,0.0,0.0,,0.0
15621000,,0.0,0.0,0.0,0.0,,0.0
15621003,,0.0,0.0,0.0,0.0,,0.0
15621004,,0.0,0.0,0.0,0.0,,0.0
15720001,,0.0,0.0,0.0,0.0,,0.0
16612000,,0.0,0.0,0.0,0.0,,0.0
17219000,,0.0,0.0,0.0,0.0,,0.0
17219001,,0.0,0.0,0.0,0.0,,0.0
17430000,,0.0,0.0,0.0,0.0,,0.0
17430001,,0.0,0.0,0.0,0.0,,0.0
17430003,,0.0,0.0,0.0,0.0,,0.0
17596001,,0.0,0.0,0.0,0.0,,0.0
17596003,,0.0,0.0,0.0,0.0,,0.0
17697000,0.0,0.0,0.0,0.0,1.0,1.667,0.004
17739000,,0.0,0.0,0.0,0.0,,0.0
18228000,,0.0,0.0,0.0,0.0,,0.0
22092000,,0.0,0.0,0.0,0.0,,0.0
22162000,0.0,0.0,0.0,0.0,1.0,1.667,0.004
22162001,0.0,0.0,0.0,0.0,1.0,1.667,0.004
22162002,,0.0,0.0,0.0,0.0,,0.0
22162003,,0.0,0.0,0.0,0.0,,0.0
22591000,,0.0,0.0,0.0,0.0,,0.0
22591001,,0.0,0.0,0.0,0.0,,0.0
22685000,,0.0,0.0,0.0,0.0,,0.0
22685001,,0.0,0.0,0.0,0.0,,0.0
22685002,,0.0,0.0,0.0,0.0,,0.0
22685003,,0.0,0.0,0.0,0.0,,0.0
22916000,,0.0,0.0,0.0,0.0,,0.0
22921000,,0.0,0.0,0.0,0.0,,0.0
23123000,,0.0,0.0,0.0,0.0,,0.0
23135000,,0.0,0.0,0.0,0.0,,0.0
