xid,NHC2020_DEM_20210804_5x5_cmp
1,343.9100036621094
2,344.1099853515625
3,344.28997802734375
4,343.9599914550781
5,344.0400085449219
6,344.239990234375
7,343.4599914550781
8,345.1300048828125
9,343.92999267578125
10,392.489990234375
11,338.0497741699219
12,339.39996337890625
13,339.4100036621094
14,297.44000244140625
15,298.2099914550781
16,279.9999694824219
17,279.6300048828125
18,280.1099853515625
19,279.7799987792969
20,279.5
21,279.5
22,279.55999755859375
23,279.3500061035156
24,279.41998291015625
25,279.84930419921875
26,279.72998046875
27,344.2099914550781
28,344.16998291015625
29,344.19000244140625
30,339.4599914550781
31,339.54998779296875
32,343.5799865722656
33,344.2099914550781
34,344.1300048828125
35,343.69000244140625
36,343.5899658203125
37,343.7599792480469
38,343.0
39,343.3399963378906
40,343.79998779296875
41,344.08001708984375
42,343.8299865722656
43,343.4100036621094
