bid,CSDUID,DAUID,use1_gf,use2_gf,Bdrm_up,pop_ref,ref_val,pop_est,occu_rate,rawpop,cap_pop,SVIt_score,f0_scale,f0_elv
8255000,5907022,59070290,resi,sfd,2,sfd2,1.7,1.7,0.85,1.7,1.45,4,0.58,0.1
8257000,5907022,59070290,resi,mf,6,mf,0.74375,4.4625,0.85,4.5,3.79,4,1.52,0.1
8259000,5907022,59070290,resi,sfd,3,sfd3,2.3,2.3,0.85,2.3,1.96,4,0.78,0.1
8261000,5907022,59070290,resi,sfd,1,sfd1,2.0,2.0,0.85,2.0,1.7,4,0.68,0.1
8263000,5907022,59070289,resi,sfd,6,sfd4,2.8,2.8,0.75,2.8,2.1,2,0.42,0.1
8257001,5907022,59070290,resi,mf,6,mf,0.74375,4.4625,0.85,4.5,3.79,4,1.52,0.1
8267000,5907022,59070289,resi,sfd,2,sfd2,1.7,1.7,0.75,1.7,1.28,2,0.26,0.1
8260001,5907022,59070289,resi,sfd,2,sfd2,1.7,1.7,0.75,1.7,1.28,2,0.26,0.1
8268000,5907022,59070289,resi,sfd,2,sfd2,1.7,1.7,0.75,1.7,1.28,2,0.26,0.1
8268001,5907022,59070289,resi,sfd,2,sfd2,1.7,1.7,0.75,1.7,1.28,2,0.26,0.1
8262001,5907022,59070289,resi,sfd,2,sfd2,1.7,1.7,0.75,1.7,1.28,2,0.26,0.1
8251001,5907022,59070290,resi,sfd,1,sfd1,2.0,2.0,0.85,2.0,1.7,4,0.68,0.1
8269000,5907022,59070289,resi,sfd,5,sfd4,2.8,2.8,0.75,2.8,2.1,2,0.42,0.1
8271000,5907022,59070289,resi,sfd,3,sfd3,2.3,2.3,0.75,2.3,1.73,2,0.35,0.1
8251002,5907022,59070290,resi,sfd,4,sfd4,2.8,2.8,0.85,2.8,2.38,4,0.95,0.1
8272000,5907022,59070289,resi,sfd,3,sfd3,2.3,2.3,0.75,2.3,1.73,2,0.35,0.1
8274000,5907022,59070289,resi,sfd,4,sfd4,2.8,2.8,0.75,2.8,2.1,2,0.42,0.1
8229001,5907022,59070289,resi,sfd,1,sfd1,2.0,2.0,0.75,2.0,1.5,2,0.3,0.1
8229002,5907022,59070289,resi,sfd,1,sfd1,2.0,2.0,0.75,2.0,1.5,2,0.3,0.1
8275001,5907022,59070289,resi,sfd,2,sfd2,1.7,1.7,0.75,1.7,1.28,2,0.26,0.1
8276000,5907022,59070289,resi,sfd,1,sfd1,2.0,2.0,0.75,2.0,1.5,2,0.3,0.1
8277000,5907022,59070289,resi,sfd,3,sfd3,2.3,2.3,0.75,2.3,1.73,2,0.35,0.1
8276001,5907022,59070289,resi,sfd,1,sfd1,2.0,2.0,0.75,2.0,1.5,2,0.3,0.1
8280000,5907022,59070289,resi,sfd,3,sfd3,2.3,2.3,0.75,2.3,1.73,2,0.35,0.1
8281000,5907022,59070289,resi,sfd,4,sfd4,2.8,2.8,0.75,2.8,2.1,2,0.42,0.1
8282000,5907022,59070289,resi,sfd,3,sfd3,2.3,2.3,0.75,2.3,1.73,2,0.35,0.1
24001,5907022,59070289,resi,sfd,1,sfd1,2.0,2.0,0.75,2.0,1.5,2,0.3,0.1
8261001,5907022,59070290,resi,sfd,1,sfd1,2.0,2.0,0.85,2.0,1.7,4,0.68,0.1
8289000,5907022,59070289,resi,sfd,3,sfd3,2.3,2.3,0.75,2.3,1.73,2,0.35,0.1
30002,5907022,59070289,resi,sfd,1,sfd1,2.0,2.0,0.75,2.0,1.5,2,0.3,0.1
28009,5907022,59070290,resi,mh,1,mh,1.77,1.77,0.85,1.8,1.5,4,0.6,0.1
8290000,5907022,59070289,resi,mf,4,mf,0.74375,2.975,0.75,3.0,2.23,2,0.45,0.1
28010,5907022,59070290,resi,mh,1,mh,1.77,1.77,0.85,1.8,1.5,4,0.6,0.1
28011,5907022,59070290,resi,mh,1,mh,1.77,1.77,0.85,1.8,1.5,4,0.6,0.1
28012,5907022,59070290,resi,mh,1,mh,1.77,1.77,0.85,1.8,1.5,4,0.6,0.1
28013,5907022,59070290,resi,mh,1,mh,1.77,1.77,0.85,1.8,1.5,4,0.6,0.1
28014,5907022,59070290,resi,mh,1,mh,1.77,1.77,0.85,1.8,1.5,4,0.6,0.1
28015,5907022,59070290,resi,mh,1,mh,1.77,1.77,0.85,1.8,1.5,4,0.6,0.1
28016,5907022,59070290,resi,mh,1,mh,1.77,1.77,0.85,1.8,1.5,4,0.6,0.1
28017,5907022,59070290,resi,mh,1,mh,1.77,1.77,0.85,1.8,1.5,4,0.6,0.1
8290001,5907022,59070289,resi,mf,4,mf,0.74375,2.975,0.75,3.0,2.23,2,0.45,0.1
24002,5907022,59070289,resi,sfd,1,sfd1,2.0,2.0,0.75,2.0,1.5,2,0.3,0.1
8295000,5907005,59070288,resi,sfd,3,sfd3,2.0,2.0,0.71,2.0,1.42,5,0.71,0.1
28018,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
8290002,5907022,59070289,resi,mf,4,mf,0.74375,2.975,0.75,3.0,2.23,2,0.45,0.1
28019,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
28020,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
28021,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
28022,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
28023,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
8299000,5907022,59070289,resi,sfd,1,sfd1,2.0,2.0,0.75,2.0,1.5,2,0.3,0.1
28024,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
28025,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
28026,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
28027,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
28028,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
28029,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
28030,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
8299001,5907022,59070289,resi,sfd,1,sfd1,2.0,2.0,0.75,2.0,1.5,2,0.3,0.1
28031,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
28032,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
28033,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
28034,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
28035,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
28036,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
28037,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
28038,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
28039,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
28040,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
28041,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
28042,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
28043,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
28044,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
28045,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
28046,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
28047,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
28048,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
28049,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
28050,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
28051,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
28052,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
28053,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
8304000,5907005,59070288,resi,mf,22,mf,0.813829787,17.90425532,0.71,17.9,12.71,5,6.36,0.1
28054,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
28055,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
28056,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
8290003,5907022,59070289,resi,mf,7,mf,0.74375,5.20625,0.75,5.2,3.9,2,0.78,0.1
8305000,5907005,59070288,resi,sfd,1,sfd1,1.5,1.5,0.71,1.5,1.07,5,0.54,0.1
8306000,5907022,59070289,resi,sfd,1,sfd1,2.0,2.0,0.75,2.0,1.5,2,0.3,0.1
8306001,5907022,59070289,resi,sfd,1,sfd1,2.0,2.0,0.75,2.0,1.5,2,0.3,0.1
8305001,5907005,59070288,resi,sfd,1,sfd1,1.5,1.5,0.71,1.5,1.07,5,0.54,0.1
8323000,5907022,59070289,resi,sfd,1,sfd1,2.0,2.0,0.75,2.0,1.5,2,0.3,0.1
8327000,5907022,59070289,resi,sfd,3,sfd3,2.3,2.3,0.75,2.3,1.73,2,0.35,0.1
8332000,5907005,59070291,resi,sfd,5,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
8335000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,2.0,1.56,5,0.78,0.1
8336000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,2.0,1.56,5,0.78,0.1
8337000,5907005,59070288,resi,sfd,4,sfd4,2.7,2.7,0.71,2.7,1.92,5,0.96,0.1
8339000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,2.0,1.56,5,0.78,0.1
8340000,5907005,59070288,resi,sfd,6,sfd4,2.7,2.7,0.71,2.7,1.92,5,0.96,0.1
8343000,5907022,59070289,resi,sfd,1,sfd1,2.0,2.0,0.75,2.0,1.5,2,0.3,0.1
8344000,5907022,59070289,resi,sfd,2,sfd2,1.7,1.7,0.75,1.7,1.28,2,0.26,0.1
8347000,5907022,59070289,resi,sfd,1,sfd1,2.0,2.0,0.75,2.0,1.5,2,0.3,0.1
8349000,5907005,59070291,resi,sfd,2,sfd2,1.9,1.9,0.78,1.9,1.48,5,0.74,0.1
8350000,5907022,59070289,resi,sfd,3,sfd3,2.3,2.3,0.75,2.3,1.73,2,0.35,0.1
8352000,5907005,59070288,resi,sfd,2,sfd2,1.9,1.9,0.71,1.9,1.35,5,0.68,0.1
8355000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,2.0,1.56,5,0.78,0.1
8356000,5907005,59070288,resi,sfd,3,sfd3,2.0,2.0,0.71,2.0,1.42,5,0.71,0.1
8357000,5907005,59070288,resi,sfd,3,sfd3,2.0,2.0,0.71,2.0,1.42,5,0.71,0.1
8358000,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
8360000,5907005,59070288,resi,sfd,3,sfd3,2.0,2.0,0.71,2.0,1.42,5,0.71,0.1
8362000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,2.0,1.56,5,0.78,0.1
8306002,5907022,59070289,resi,sfd,1,sfd1,2.0,2.0,0.75,2.0,1.5,2,0.3,0.1
8363000,5907005,59070288,resi,sfd,2,sfd2,1.9,1.9,0.71,1.9,1.35,5,0.68,0.1
8365000,5907005,59070291,resi,sfd,1,sfd1,1.5,1.5,0.78,1.5,1.17,5,0.59,0.1
8347001,5907022,59070289,resi,sfd,1,sfd1,2.0,2.0,0.75,2.0,1.5,2,0.3,0.1
8344001,5907022,59070289,resi,sfd,2,sfd2,1.7,1.7,0.75,1.7,1.28,2,0.26,0.1
8366000,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
8261002,5907022,59070290,resi,sfd,1,sfd1,2.0,2.0,0.85,2.0,1.7,4,0.68,0.1
8369001,5907022,59070289,resi,sfd,5,sfd4,2.8,2.8,0.75,2.8,2.1,2,0.42,0.1
8261003,5907022,59070290,resi,sfd,1,sfd1,2.0,2.0,0.85,2.0,1.7,4,0.68,0.1
8261004,5907022,59070290,resi,sfd,1,sfd1,2.0,2.0,0.85,2.0,1.7,4,0.68,0.1
8261005,5907022,59070290,resi,sfd,1,sfd1,2.0,2.0,0.85,2.0,1.7,4,0.68,0.1
8371000,5907022,59070289,resi,sfd,3,sfd3,2.3,2.3,0.75,2.3,1.73,2,0.35,0.1
8372000,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
8375000,5907005,59070288,resi,sfd,3,sfd3,2.0,2.0,0.71,2.0,1.42,5,0.71,0.1
77001,5907005,59070291,resi,sfd,2,sfd2,1.9,1.9,0.78,1.9,1.48,5,0.74,0.1
8383000,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
8384000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,2.0,1.56,5,0.78,0.1
83001,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
85001,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
8392000,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
8395000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,2.0,1.56,5,0.78,0.1
8388001,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
8405000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,2.0,1.56,5,0.78,0.1
8407000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,2.0,1.56,5,0.78,0.1
8409000,5907005,59070291,resi,sfd,2,sfd2,1.9,1.9,0.78,1.9,1.48,5,0.74,0.1
8411000,5907005,59070291,resi,sfd,5,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
8412000,5907005,59070291,resi,sfd,2,sfd2,1.9,1.9,0.78,1.9,1.48,5,0.74,0.1
8415000,5907005,59070291,resi,sfd,6,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
8419000,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
8424000,5907005,59070288,resi,mf,178,mf,0.813829787,144.8617021,0.71,144.9,102.85,5,51.43,0.1
8426000,5907005,59070291,resi,sfd,2,sfd2,1.9,1.9,0.78,1.9,1.48,5,0.74,0.1
8426001,5907005,59070291,resi,sfd,2,sfd2,1.9,1.9,0.78,1.9,1.48,5,0.74,0.1
8428000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,2.0,1.56,5,0.78,0.1
8431000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,2.0,1.56,5,0.78,0.1
8432000,5907005,59070291,resi,sfd,2,sfd2,1.9,1.9,0.78,1.9,1.48,5,0.74,0.1
97001,5907005,59070288,resi,sfd,6,sfd4,2.7,2.7,0.71,2.7,1.92,5,0.96,0.1
97002,5907005,59070288,resi,sfd,6,sfd4,2.7,2.7,0.71,2.7,1.92,5,0.96,0.1
8437001,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,2.0,1.56,5,0.78,0.1
97003,5907005,59070288,resi,sfd,6,sfd4,2.7,2.7,0.71,2.7,1.92,5,0.96,0.1
8439000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,2.0,1.56,5,0.78,0.1
8442000,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
8444000,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
8442001,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
8442002,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
8442003,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
8446000,5907005,59070291,resi,sfd,2,sfd2,1.9,1.9,0.78,1.9,1.48,5,0.74,0.1
8442004,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
8442005,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
8442006,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
8448000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,2.0,1.56,5,0.78,0.1
8451000,5907005,59070288,resi,sfd,3,sfd3,2.0,2.0,0.71,2.0,1.42,5,0.71,0.1
8442007,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
8442008,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
8442009,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
8442010,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
8455000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,2.0,1.56,5,0.78,0.1
8372002,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
8372003,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
8372004,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
8372005,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
8459000,5907005,59070291,resi,sfd,2,sfd2,1.9,1.9,0.78,1.9,1.48,5,0.74,0.1
8372007,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
8372008,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
8460000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,2.0,1.56,5,0.78,0.1
8461000,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
8462000,5907005,59070291,resi,sfd,2,sfd2,1.9,1.9,0.78,1.9,1.48,5,0.74,0.1
8463000,5907005,59070291,resi,sfd,2,sfd2,1.9,1.9,0.78,1.9,1.48,5,0.74,0.1
8372009,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
8465000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,2.0,1.56,5,0.78,0.1
8442011,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
8470000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,2.0,1.56,5,0.78,0.1
8442012,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
8442013,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
8442014,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
8442015,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
8442016,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
8442017,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
8475000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,2.0,1.56,5,0.78,0.1
8476000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,2.0,1.56,5,0.78,0.1
8477000,5907005,59070291,resi,sfd,5,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
8479000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,2.0,1.56,5,0.78,0.1
8481000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,2.0,1.56,5,0.78,0.1
8372011,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
8486000,5907005,59070288,resi,sfd,4,sfd4,2.7,2.7,0.71,2.7,1.92,5,0.96,0.1
156001,5907005,59070291,resi,sfd,5,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
8491000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,2.0,1.56,5,0.78,0.1
8494000,5907022,59070290,resi,sfd,1,sfd1,2.0,2.0,0.85,2.0,1.7,4,0.68,0.1
8494001,5907022,59070290,resi,sfd,1,sfd1,2.0,2.0,0.85,2.0,1.7,4,0.68,0.1
8496001,5907005,59070291,resi,sfd,2,sfd2,1.9,1.9,0.78,1.9,1.48,5,0.74,0.1
8498000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,2.0,1.56,5,0.78,0.1
8503000,5907005,59070291,resi,sfd,2,sfd2,1.9,1.9,0.78,1.9,1.48,5,0.74,0.1
8505000,5907005,59070291,resi,mf,23,mf,0.813829787,18.71808511,0.78,18.7,14.6,5,7.3,0.1
8505001,5907005,59070291,resi,mf,23,mf,0.813829787,18.71808511,0.78,18.7,14.6,5,7.3,0.1
160001,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,2.0,1.56,5,0.78,0.1
8518000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,2.0,1.56,5,0.78,0.1
8519000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,2.0,1.56,5,0.78,0.1
162001,5907005,59070291,resi,mf,6,mf,0.813829787,4.882978723,0.78,4.9,3.81,5,1.91,0.1
8522000,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
8523000,5907005,59070291,resi,sfd,2,sfd2,1.9,1.9,0.78,1.9,1.48,5,0.74,0.1
8524000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,2.0,1.56,5,0.78,0.1
8527000,5907022,59070290,resi,sfd,1,sfd1,2.0,2.0,0.85,2.0,1.7,4,0.68,0.1
8494002,5907022,59070290,resi,sfd,1,sfd1,2.0,2.0,0.85,2.0,1.7,4,0.68,0.1
8494003,5907022,59070290,resi,sfd,1,sfd1,2.0,2.0,0.85,2.0,1.7,4,0.68,0.1
8527001,5907022,59070290,resi,sfd,1,sfd1,2.0,2.0,0.85,2.0,1.7,4,0.68,0.1
8530000,5907005,59070291,resi,sfd,6,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
8494004,5907022,59070290,resi,sfd,1,sfd1,2.0,2.0,0.85,2.0,1.7,4,0.68,0.1
8534000,5907005,59070288,resi,sfd,2,sfd2,1.9,1.9,0.71,1.9,1.35,5,0.68,0.1
8535000,5907005,59070287,resi,sfd,2,sfd2,1.9,1.9,0.62,1.9,1.18,5,0.59,0.1
8537000,5907005,59070291,resi,mf,4,mf,0.813829787,3.255319149,0.78,3.3,2.54,5,1.27,0.1
8538000,5907005,59070291,resi,mf,4,mf,0.813829787,3.255319149,0.78,3.3,2.54,5,1.27,0.1
191001,5907005,59070292,resi,mf,11,mf,0.813829787,8.95212766,0.86,9.0,7.7,6,4.62,0.1
8541000,5907005,59070288,resi,sfd,3,sfd3,2.0,2.0,0.71,2.0,1.42,5,0.71,0.1
8543000,5907005,59070288,resi,sfd,3,sfd3,2.0,2.0,0.71,2.0,1.42,5,0.71,0.1
8545000,5907005,59070287,resi,sfd,6,sfd4,2.7,2.7,0.62,2.7,1.67,5,0.84,0.1
8547000,5907005,59070288,resi,sfd,3,sfd3,2.0,2.0,0.71,2.0,1.42,5,0.71,0.1
8548000,5907005,59070292,resi,sfd,5,sfd4,2.7,2.7,0.86,2.7,2.32,6,1.39,0.1
8548001,5907005,59070292,resi,sfd,5,sfd4,2.7,2.7,0.86,2.7,2.32,6,1.39,0.1
8542001,5907005,59070292,resi,sfd,6,sfd4,2.7,2.7,0.86,2.7,2.32,6,1.39,0.1
8545001,5907005,59070287,resi,sfd,6,sfd4,2.7,2.7,0.62,2.7,1.67,5,0.84,0.1
8545002,5907005,59070287,resi,sfd,6,sfd4,2.7,2.7,0.62,2.7,1.67,5,0.84,0.1
8548002,5907005,59070292,resi,sfd,5,sfd4,2.7,2.7,0.86,2.7,2.32,6,1.39,0.1
8551000,5907005,59070288,resi,sfd,2,sfd2,1.9,1.9,0.71,1.9,1.35,5,0.68,0.1
8550001,5907005,59070288,resi,sfd,2,sfd2,1.9,1.9,0.71,1.9,1.35,5,0.68,0.1
8552000,5907005,59070288,resi,sfd,3,sfd3,2.0,2.0,0.71,2.0,1.42,5,0.71,0.1
8553000,5907005,59070288,resi,sfd,2,sfd2,1.9,1.9,0.71,1.9,1.35,5,0.68,0.1
8528001,5907022,59070290,resi,sfd,4,sfd4,2.8,2.8,0.85,2.8,2.38,4,0.95,0.1
8555000,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
184001,5907005,59070292,resi,mf,8,mf,0.813829787,6.510638298,0.86,6.5,5.6,6,3.36,0.1
8526001,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
8558000,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
8559000,5907022,59070290,resi,sfd,3,sfd3,2.3,2.3,0.85,2.3,1.96,5,0.98,0.1
8560000,5907005,59070287,resi,sfd,3,sfd3,2.0,2.0,0.62,2.0,1.24,5,0.62,0.1
186001,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,2.0,1.56,5,0.78,0.1
8562000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,2.0,1.56,5,0.78,0.1
8564000,5907005,59070288,resi,sfd,4,sfd4,2.7,2.7,0.71,2.7,1.92,5,0.96,0.1
8565000,5907005,59070288,resi,sfd,2,sfd2,1.9,1.9,0.71,1.9,1.35,5,0.68,0.1
8566000,5907005,59070287,resi,sfd,4,sfd4,2.7,2.7,0.62,2.7,1.67,5,0.84,0.1
8535001,5907005,59070287,resi,sfd,2,sfd2,1.9,1.9,0.62,1.9,1.18,5,0.59,0.1
8569000,5907005,59070291,resi,sfd,1,sfd1,1.5,1.5,0.78,1.5,1.17,5,0.59,0.1
8545003,5907005,59070287,resi,sfd,6,sfd4,2.7,2.7,0.62,2.7,1.67,5,0.84,0.1
146001,5907005,59070291,resi,sfd,6,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
