bid,CSDUID,DAUID,use1_gf,use2_gf,Bdrm_up,pop_ref,ref_val,pop_est,occu_rate,rawpop,cap_pop,SVIt_score,f0_scale,f0_elv
1304000,5907041,59070260,resi,sfd,2,sfd2,1.8,1.8,0.88,1.8,1.58,7,1.11,0.1
1282001,5907041,59070296,resi,mh,1,mh,1.6,1.6,0.89,1.6,1.42,4,0.57,0.1
1305000,5907041,59070260,resi,sfd,2,sfd2,1.8,1.8,0.88,1.8,1.58,7,1.11,0.1
1306000,5907041,59070298,resi,mf,17,mf,0.859982639,14.61970486,0.91,14.6,13.3,3,3.99,0.1
1307000,5907041,59070259,resi,sfd,3,sfd3,2.4,2.4,0.98,2.4,2.35,2,0.47,0.1
1308000,5907041,59070259,resi,sfd,3,sfd3,2.4,2.4,0.98,2.4,2.35,2,0.47,0.1
1310000,5907041,59070259,resi,sfd,3,sfd3,2.4,2.4,0.98,2.4,2.35,2,0.47,0.1
1311000,5907041,59070259,resi,sfd,2,sfd2,1.8,1.8,0.98,1.8,1.76,2,0.35,0.1
1309001,5907041,59070259,resi,sfd,2,sfd2,1.8,1.8,0.98,1.8,1.76,2,0.35,0.1
1312000,5907041,59070259,resi,sfd,3,sfd3,2.4,2.4,0.98,2.4,2.35,2,0.47,0.1
1313000,5907041,59070259,resi,sfd,3,sfd3,2.4,2.4,0.98,2.4,2.35,2,0.47,0.1
1314000,5907041,59070259,resi,sfd,2,sfd2,1.8,1.8,0.98,1.8,1.76,2,0.35,0.1
1315000,5907041,59070259,resi,sfd,2,sfd2,1.8,1.8,0.98,1.8,1.76,2,0.35,0.1
1316000,5907041,59070259,resi,sfd,2,sfd2,1.8,1.8,0.98,1.8,1.76,2,0.35,0.1
1317000,5907041,59070259,resi,sfd,2,sfd2,1.8,1.8,0.98,1.8,1.76,2,0.35,0.1
1234008,5907041,59070296,resi,mh,1,mh,1.6,1.6,0.89,1.6,1.42,4,0.57,0.1
1318000,5907041,59070259,resi,sfd,2,sfd2,1.8,1.8,0.98,1.8,1.76,2,0.35,0.1
1319000,5907041,59070259,resi,sfd,2,sfd2,1.8,1.8,0.98,1.8,1.76,2,0.35,0.1
1320000,5907041,59070259,resi,sfd,2,sfd2,1.8,1.8,0.98,1.8,1.76,2,0.35,0.1
1321000,5907041,59070259,resi,sfd,2,sfd2,1.8,1.8,0.98,1.8,1.76,2,0.35,0.1
1322000,5907041,59070259,resi,sfd,3,sfd3,2.4,2.4,0.98,2.4,2.35,2,0.47,0.1
1323000,5907041,59070259,resi,sfd,2,sfd2,1.8,1.8,0.98,1.8,1.76,2,0.35,0.1
1324000,5907041,59070260,resi,mf,73,mf,0.859982639,62.77873264,0.88,62.8,55.25,7,38.68,0.1
1325000,5907041,59070259,resi,sfd,2,sfd2,1.8,1.8,0.98,1.8,1.76,2,0.35,0.1
1324001,5907041,59070260,resi,mf,73,mf,0.859982639,62.77873264,0.88,62.8,55.25,7,38.68,0.1
1251006,5907803,59070306,resi,sfd,1,sfd1,1.8,1.8,0.99,1.8,1.78,2,0.36,0.1
1326000,5907041,59070260,resi,sfd,2,sfd2,1.8,1.8,0.88,1.8,1.58,7,1.11,0.1
1327000,5907041,59070260,resi,sfd,3,sfd3,2.4,2.4,0.88,2.4,2.11,7,1.48,0.1
1328000,5907041,59070260,resi,sfd,2,sfd2,1.8,1.8,0.88,1.8,1.58,7,1.11,0.1
