bid,0.2,0.05,0.01,0.005,0.002,0.0,ead
13033053,,0.0,0.0,0.0,0.0,,0.0
13033054,,0.0,0.0,0.0,0.0,,0.0
13033055,,0.0,0.0,0.0,0.0,,0.0
13033056,,0.0,0.0,0.0,0.0,,0.0
13033057,,0.0,0.0,0.0,0.0,,0.0
13033058,,0.0,0.0,0.0,0.0,,0.0
13033059,,0.0,0.0,0.0,0.0,,0.0
13033060,,0.0,0.0,0.0,0.0,,0.0
13033061,,0.0,0.0,0.0,0.0,,0.0
13033062,,0.0,0.0,0.0,0.0,,0.0
13180000,,0.0,0.0,0.0,0.0,,0.0
13404000,,0.0,0.0,0.0,0.0,,0.0
13956000,,0.0,0.0,0.0,0.0,,0.0
14849000,,0.0,0.0,0.0,0.0,,0.0
18848002,,0.0,0.0,0.0,0.0,,0.0
23134000,,0.0,0.0,0.0,0.0,,0.0
23824000,,0.0,0.0,0.0,0.0,,0.0
23851000,,0.0,0.0,0.0,0.0,,0.0
23851001,,0.0,0.0,0.0,0.0,,0.0
23851002,,0.0,0.0,0.0,0.0,,0.0
23851003,,0.0,0.0,0.0,0.0,,0.0
23851004,,0.0,0.0,0.0,0.0,,0.0
24220000,,0.0,0.0,0.0,0.0,,0.0
24261000,,0.0,0.0,0.0,0.0,,0.0
24261001,,0.0,0.0,0.0,0.0,,0.0
24293000,,0.0,0.0,0.0,0.0,,0.0
24293001,,0.0,0.0,0.0,0.0,,0.0
24302000,,0.0,0.0,0.0,0.0,,0.0
24302001,,0.0,0.0,0.0,0.0,,0.0
24312000,,0.0,0.0,0.0,0.0,,0.0
24312001,,0.0,0.0,0.0,0.0,,0.0
24349000,,0.0,0.0,0.0,0.0,,0.0
24382000,,0.0,0.0,0.0,0.0,,0.0
25989002,,0.0,0.0,0.0,0.0,,0.0
