xid,0.2,0.05,0.01,0.005,0.002,0.0,ead
321,,0.0,0.0,0.0,0.0,,0.0
322,,0.0,0.0,0.0,0.0,,0.0
323,,0.0,0.0,0.0,0.0,,0.0
324,,0.0,0.0,0.0,0.0,,0.0
325,,0.0,0.0,0.0,0.0,,0.0
327,,0.0,0.0,0.0,0.0,,0.0
328,,0.0,0.0,0.0,0.0,,0.0
329,,0.0,0.0,0.0,0.0,,0.0
330,,0.0,0.0,0.0,0.0,,0.0
335,,0.0,0.0,0.0,0.0,,0.0
344,,0.0,0.0,0.0,0.0,,0.0
345,,0.0,0.0,0.0,0.0,,0.0
354,,0.0,0.0,0.0,0.0,,0.0
355,,0.0,0.0,0.0,0.0,,0.0
357,,0.0,0.0,0.0,0.0,,0.0
358,,0.0,0.0,0.0,0.0,,0.0
359,0.0,1.0,1.0,1.0,1.0,1.0,0.125
360,,0.0,0.0,0.0,0.0,,0.0
362,0.0,1.0,1.0,1.0,1.0,1.0,0.125
363,,0.0,0.0,0.0,0.0,,0.0
366,,0.0,0.0,0.0,0.0,,0.0
371,,0.0,0.0,0.0,0.0,,0.0
376,,0.0,0.0,0.0,0.0,,0.0
380,,0.0,0.0,0.0,0.0,,0.0
382,,0.0,0.0,0.0,0.0,,0.0
384,,0.0,0.0,0.0,0.0,,0.0
391,,0.0,0.0,0.0,0.0,,0.0
393,,0.0,0.0,0.0,0.0,,0.0
396,,0.0,0.0,0.0,0.0,,0.0
404,,0.0,0.0,0.0,0.0,,0.0
405,,0.0,0.0,0.0,0.0,,0.0
408,,0.0,0.0,0.0,0.0,,0.0
411,,0.0,0.0,0.0,0.0,,0.0
412,0.0,0.0,1.0,1.0,1.0,1.0,0.03
414,0.0,0.0,1.0,1.0,1.0,1.0,0.03
415,,0.0,0.0,0.0,0.0,,0.0
420,,0.0,0.0,0.0,0.0,,0.0
421,,0.0,0.0,0.0,0.0,,0.0
422,,0.0,0.0,0.0,0.0,,0.0
434,,0.0,0.0,0.0,0.0,,0.0
436,,0.0,0.0,0.0,0.0,,0.0
437,,0.0,0.0,0.0,0.0,,0.0
438,,0.0,0.0,0.0,0.0,,0.0
439,,0.0,0.0,0.0,0.0,,0.0
440,,0.0,0.0,0.0,0.0,,0.0
443,,0.0,0.0,0.0,0.0,,0.0
444,0.0,1.0,1.0,1.0,1.0,1.0,0.125
445,0.0,1.0,1.0,1.0,1.0,1.0,0.125
446,0.0,0.0,1.0,1.0,1.0,1.0,0.03
454,0.0,0.0,1.0,1.0,1.0,1.0,0.03
460,,0.0,0.0,0.0,0.0,,0.0
461,0.0,1.0,1.0,1.0,1.0,1.0,0.125
462,0.0,1.0,1.0,1.0,1.0,1.0,0.125
464,0.0,1.0,1.0,1.0,1.0,1.0,0.125
465,0.0,0.0,1.0,1.0,1.0,1.0,0.03
466,0.0,0.0,1.0,1.0,1.0,1.0,0.03
467,0.0,0.0,1.0,1.0,1.0,1.0,0.03
468,0.0,1.0,1.0,1.0,1.0,1.0,0.125
469,,0.0,0.0,0.0,0.0,,0.0
470,0.0,1.0,1.0,1.0,1.0,1.0,0.125
471,,0.0,0.0,0.0,0.0,,0.0
472,0.0,1.0,1.0,1.0,1.0,1.0,0.125
475,,0.0,0.0,0.0,0.0,,0.0
476,,0.0,0.0,0.0,0.0,,0.0
477,,0.0,0.0,0.0,0.0,,0.0
480,,0.0,0.0,0.0,0.0,,0.0
482,,0.0,0.0,0.0,0.0,,0.0
483,,0.0,0.0,0.0,0.0,,0.0
485,,0.0,0.0,0.0,0.0,,0.0
486,,0.0,0.0,0.0,0.0,,0.0
487,,0.0,0.0,0.0,0.0,,0.0
488,,0.0,0.0,0.0,0.0,,0.0
489,,0.0,0.0,0.0,0.0,,0.0
490,,0.0,0.0,0.0,0.0,,0.0
491,,0.0,0.0,0.0,0.0,,0.0
492,,0.0,0.0,0.0,0.0,,0.0
493,,0.0,0.0,0.0,0.0,,0.0
494,,0.0,0.0,0.0,0.0,,0.0
495,,0.0,0.0,0.0,0.0,,0.0
496,,0.0,0.0,0.0,0.0,,0.0
497,,0.0,0.0,0.0,0.0,,0.0
499,,0.0,0.0,0.0,0.0,,0.0
