bid,NHC2020_DEM_20210804_5x5_cmp
787000,305.4999694824219
2160000,348.8299865722656
3430000,347.219970703125
5231001,374.1399841308594
5784000,349.42999267578125
9846000,291.0899963378906
10430001,300.2200012207031
2000,280.29998779296875
3000,280.3299865722656
8000,287.7699890136719
10000,281.04998779296875
11000,280.219970703125
15000,279.3500061035156
16000,283.6199951171875
18000,279.4099426269531
19000,293.3900146484375
20000,291.1499938964844
21000,279.47998046875
22000,282.1400146484375
24000,279.5099792480469
25000,293.32000732421875
28000,282.8900146484375
30000,279.4599914550781
30001,279.42999267578125
28001,282.2300109863281
28002,282.66998291015625
28003,282.9399719238281
28004,282.78997802734375
28005,279.54998779296875
28006,279.29998779296875
28007,279.4599914550781
28008,283.3800048828125
53000,297.7499694824219
54000,293.5899963378906
57000,286.94000244140625
58000,287.7900085449219
60000,290.2699890136719
62000,296.79998779296875
68000,289.3199768066406
64001,293.6099853515625
73000,279.6499938964844
74000,293.4700012207031
77000,281.2699890136719
78000,297.5799865722656
79000,299.1000061035156
80000,289.2200012207031
81000,279.20001220703125
82000,279.6200256347656
86000,288.3699951171875
88000,293.1199951171875
89000,287.47998046875
91000,281.6999816894531
93000,286.1499938964844
94000,286.3599853515625
97000,281.41998291015625
98000,282.8800048828125
105000,281.3900146484375
106000,290.1300048828125
109000,279.4100036621094
110000,288.0099792480469
111000,289.0299987792969
112000,292.0899963378906
114000,281.78997802734375
119000,288.989990234375
123000,290.5099792480469
124000,285.7099914550781
127000,280.3399658203125
129000,288.6399841308594
131000,290.1600036621094
134000,280.1600036621094
136000,280.6100158691406
144000,286.1300048828125
145000,285.1499938964844
146000,286.010009765625
151000,284.66998291015625
159000,280.239990234375
162000,281.53997802734375
173000,280.04998779296875
174000,285.2900085449219
177000,280.75
180000,281.3499755859375
181000,279.2300109863281
182000,279.7099914550781
183000,280.0699768066406
188000,280.1300048828125
189000,279.3399963378906
190000,279.3800048828125
191000,285.4499816894531
192000,288.29998779296875
193000,280.7099914550781
194000,281.8900146484375
