bid,CSDUID,DAUID,use1_gf,use2_gf,Bdrm_up,pop_ref,ref_val,pop_est,occu_rate,f0_elv,f0_scale
91000,5907005,59070291,resi,sfd,2,sfd2,1.9,1.9,0.78,0.1,1.48
93000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,0.1,1.56
94000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,0.1,1.56
97000,5907005,59070288,resi,sfd,6,sfd4,2.7,2.7,0.71,0.1,1.92
98000,5907005,59070288,resi,mf,9,mf,0.813829787,7.324468085,0.71,0.1,5.2
105000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,0.1,1.56
106000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,0.1,1.56
109000,5907005,59070291,resi,sfd,1,sfd1,1.5,1.5,0.78,0.1,1.17
110000,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,0.1,2.11
111000,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,0.1,2.11
112000,5907005,59070291,resi,sfd,2,sfd2,1.9,1.9,0.78,0.1,1.48
114000,5907005,59070291,resi,sfd,5,sfd4,2.7,2.7,0.78,0.1,2.11
119000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,0.1,1.56
123000,5907005,59070291,resi,sfd,5,sfd4,2.7,2.7,0.78,0.1,2.11
124000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,0.1,1.56
127000,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,0.1,2.11
129000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,0.1,1.56
131000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,0.1,1.56
134000,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,0.1,2.11
136000,5907005,59070291,resi,sfd,6,sfd4,2.7,2.7,0.78,0.1,2.11
144000,5907005,59070291,resi,sfd,2,sfd2,1.9,1.9,0.78,0.1,1.48
145000,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,0.1,2.11
146000,5907005,59070291,resi,sfd,6,sfd4,2.7,2.7,0.78,0.1,2.11
151000,5907005,59070291,resi,sfd,6,sfd4,2.7,2.7,0.78,0.1,2.11
159000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,0.1,1.56
162000,5907005,59070291,resi,mf,6,mf,0.813829787,4.882978723,0.78,0.1,3.81
173000,5907005,59070291,resi,sfd,1,sfd1,1.5,1.5,0.78,0.1,1.17
