xid,0.2,0.05,0.01,0.005,0.002,0.0,ead
107,0.0,0.0,0.0,0.0,150.01867,250.03112,0.62508
108,,0.0,0.0,0.0,0.0,,0.0
109,,0.0,0.0,0.0,0.0,,0.0
110,,0.0,0.0,0.0,0.0,,0.0
111,0.0,525.43794,650.16807,2199.96448,3000.39798,3534.02031,84.38026
112,0.0,0.0,0.0,374.86799,225.19048,125.40547,2.18785
113,0.0,15.20464,1449.95495,1625.05898,1625.05898,1625.05898,46.25637
114,,0.0,0.0,0.0,0.0,,0.0
115,,0.0,0.0,0.0,0.0,,0.0
116,,0.0,0.0,0.0,0.0,,0.0
117,0.0,0.0,0.0,350.18748,12287.28,20245.34168,52.36429
118,,0.0,0.0,0.0,0.0,,0.0
119,,0.0,0.0,0.0,0.0,,0.0
120,,0.0,0.0,0.0,0.0,,0.0
121,,0.0,0.0,0.0,0.0,,0.0
122,,0.0,0.0,0.0,0.0,,0.0
123,,0.0,0.0,0.0,0.0,,0.0
124,,0.0,0.0,0.0,0.0,,0.0
125,0.0,0.0,0.0,0.0,99.9871,166.64517,0.41661
126,0.0,0.0,0.0,51.04096,4775.16556,7924.58196,20.06666
127,0.0,0.0,149.77828,1875.19028,5749.96298,8333.14478,33.57882
128,,0.0,0.0,0.0,0.0,,0.0
129,,0.0,0.0,0.0,0.0,,0.0
130,,0.0,0.0,0.0,0.0,,0.0
131,,0.0,0.0,0.0,0.0,,0.0
132,,0.0,0.0,0.0,0.0,,0.0
133,0.0,0.0,0.0,125.08965,624.9999,958.2734,3.02113
134,0.0,0.0,0.0,0.0,17.78786,29.64643,0.07412
135,0.0,75.05,150.1,249.64,699.94,1000.14,14.25555
136,,0.0,0.0,0.0,0.0,,0.0
137,0.0,150.05905,300.1181,800.1382,1924.78572,2674.55073,31.69533
138,0.0,74.88032,150.02711,200.12498,499.91273,699.77123,13.23929
139,0.0,27.16914,100.04638,100.04638,599.95865,933.2335,7.66543
140,0.0,0.0,0.0,40.44325,99.79503,139.36288,0.55062
141,0.0,0.0,199.67631,274.72706,424.82856,524.89623,7.17859
142,0.0,454.79414,18772.89136,42700.11629,74055.64547,94959.33159,916.49441
