bid,0.2,0.05,0.01,0.005,0.002,0.0,ead
28041,0.0,18000.0,18000.0,18000.0,92501.122,142168.537,2560.421
28042,0.0,16000.0,82223.22,91237.92,102791.595,110494.045,4102.447
28043,0.0,14000.0,14000.0,65460.902,77279.347,85158.31,2185.2
28044,0.0,22000.0,22000.0,22000.0,103594.975,157991.625,3089.979
28045,0.0,16000.0,16000.0,16000.0,80635.2,123725.333,2269.313
28046,0.0,12000.0,12000.0,12000.0,14208.9,15681.5,1509.204
28047,0.0,18000.0,88332.57,100553.16,112623.306,120670.07,4501.924
28048,0.0,30000.0,30000.0,30000.0,30000.0,30000.0,3750.0
28049,0.0,22000.0,22000.0,54397.2,120344.473,164309.322,3267.759
28050,0.0,18000.0,91310.108,102045.66,114778.476,123267.02,4582.873
28051,0.0,16000.0,16000.0,16000.0,76400.48,116667.467,2251.669
28052,0.0,38000.0,38000.0,38000.0,38000.0,38000.0,4750.0
28053,0.0,16000.0,16000.0,74812.46,88319.253,97323.782,2497.372
28054,0.0,0.0,0.0,12000.0,12000.0,12000.0,90.0
28055,0.0,0.0,0.0,0.0,10000.0,16666.667,41.667
28056,0.0,16000.0,16000.0,79576.52,90707.253,98127.742,2523.202
30000,0.0,0.0,52550.833,57360.0,61373.167,64048.612,1629.315
30001,0.0,0.0,83106.333,93467.6,101530.417,106905.628,2604.495
30002,0.0,0.0,73118.667,79645.867,81980.8,83537.422,2252.243
31000,0.0,0.0,44337.143,52291.429,58600.0,62805.714,1416.057
42000,,0.0,0.0,0.0,0.0,,0.0
43000,,0.0,0.0,0.0,0.0,,0.0
44000,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,1250.0
53000,,0.0,0.0,0.0,0.0,,0.0
54000,,0.0,0.0,0.0,0.0,,0.0
57000,,0.0,0.0,0.0,0.0,,0.0
58000,,0.0,0.0,0.0,0.0,,0.0
60000,,0.0,0.0,0.0,0.0,,0.0
62000,,0.0,0.0,0.0,0.0,,0.0
64001,,0.0,0.0,0.0,0.0,,0.0
68000,,0.0,0.0,0.0,0.0,,0.0
73000,0.0,52000.0,304487.3,340041.0,369856.933,389734.222,14465.505
74000,,0.0,0.0,0.0,0.0,,0.0
77000,0.0,30000.0,30000.0,30000.0,30000.0,30000.0,3750.0
77001,,0.0,0.0,0.0,0.0,,0.0
78000,,0.0,0.0,0.0,0.0,,0.0
79000,,0.0,0.0,0.0,0.0,,0.0
80000,,0.0,0.0,0.0,0.0,,0.0
81000,0.0,25730.4,99580.0,105894.933,107486.933,108548.266,5485.783
82000,0.0,32500.0,313112.5,339003.333,357610.0,370014.445,12752.584
83001,,0.0,0.0,0.0,0.0,,0.0
85001,0.0,20800.0,201688.0,218201.6,231485.333,240341.155,8205.841
86000,,0.0,0.0,0.0,0.0,,0.0
88000,,0.0,0.0,0.0,0.0,,0.0
89000,,0.0,0.0,0.0,0.0,,0.0
91000,0.0,36000.0,36000.0,36000.0,36000.0,36000.0,4500.0
93000,,0.0,0.0,0.0,0.0,,0.0
94000,,0.0,0.0,0.0,0.0,,0.0
97000,0.0,0.0,144300.0,144300.0,144300.0,144300.0,4329.0
97001,0.0,45500.0,45500.0,45500.0,45500.0,45500.0,5687.5
97002,0.0,11700.0,11700.0,11700.0,11700.0,11700.0,1462.5
97003,0.0,45500.0,45500.0,45500.0,45500.0,45500.0,5687.5
98000,0.0,0.0,0.0,0.0,10000.0,16666.667,41.667
105000,0.0,54000.0,54000.0,54000.0,54000.0,54000.0,6750.0
106000,,0.0,0.0,0.0,0.0,,0.0
109000,0.0,164194.125,199218.0,212643.75,220146.75,225148.75,21706.938
110000,,0.0,0.0,0.0,0.0,,0.0
111000,,0.0,0.0,0.0,0.0,,0.0
112000,,0.0,0.0,0.0,0.0,,0.0
114000,0.0,62000.0,62000.0,62000.0,62000.0,62000.0,7750.0
119000,,0.0,0.0,0.0,0.0,,0.0
123000,,0.0,0.0,0.0,0.0,,0.0
124000,,0.0,0.0,0.0,0.0,,0.0
127000,0.0,48000.0,48000.0,48000.0,142862.4,206104.0,6395.26
129000,,0.0,0.0,0.0,0.0,,0.0
131000,,0.0,0.0,0.0,0.0,,0.0
134000,0.0,41600.0,41600.0,41600.0,370094.933,589091.555,6568.729
136000,0.0,54000.0,54000.0,54000.0,54000.0,54000.0,6750.0
144000,,0.0,0.0,0.0,0.0,,0.0
145000,,0.0,0.0,0.0,0.0,,0.0
146000,,0.0,0.0,0.0,0.0,,0.0
146001,,0.0,0.0,0.0,0.0,,0.0
146002,0.0,36000.0,36000.0,36000.0,36000.0,36000.0,4500.0
151000,,0.0,0.0,0.0,0.0,,0.0
156001,,0.0,0.0,0.0,0.0,,0.0
159000,0.0,27300.0,27300.0,27300.0,233952.6,371721.0,4273.552
160001,0.0,80000.0,484445.667,533360.0,578773.333,609048.888,22689.45
162000,0.0,29000.0,29000.0,29000.0,29000.0,29000.0,3625.0
162001,0.0,29000.0,29000.0,29000.0,29000.0,29000.0,3625.0
173000,0.0,32000.0,32000.0,47330.4,204584.0,309419.733,4770.201
174000,,0.0,0.0,0.0,0.0,,0.0
177000,0.0,22100.0,22100.0,22100.0,22100.0,22100.0,2762.5
180000,0.0,50000.0,50000.0,50000.0,50000.0,50000.0,6250.0
181000,0.0,74000.0,501461.0,539235.533,559042.25,572246.728,22439.667
182000,0.0,29900.0,166264.7,286568.5,312901.2,330456.333,8840.439
183000,0.0,27300.0,27300.0,27300.0,252283.5,402272.5,4349.931
184001,,0.0,0.0,0.0,0.0,,0.0
186001,0.0,27300.0,27300.0,27300.0,27300.0,27300.0,3412.5
188000,0.0,44000.0,44000.0,44000.0,273235.417,426059.028,6455.148
189000,0.0,32500.0,311287.5,337260.0,357027.5,370205.833,12703.283
190000,0.0,27300.0,258415.5,280369.6,298924.5,311294.433,10587.933
191000,,0.0,0.0,0.0,0.0,,0.0
191001,,0.0,0.0,0.0,0.0,,0.0
192000,,0.0,0.0,0.0,0.0,,0.0
193000,0.0,32000.0,32000.0,32000.0,32000.0,32000.0,4000.0
194000,0.0,58000.0,58000.0,58000.0,58000.0,58000.0,7250.0
195000,,0.0,0.0,0.0,0.0,,0.0
196000,0.0,0.0,0.0,282723.3,315873.0,337972.8,2258.548
200000,0.0,42000.0,42000.0,42000.0,42000.0,42000.0,5250.0
203000,,0.0,0.0,0.0,0.0,,0.0
204000,,0.0,0.0,0.0,0.0,,0.0
205000,0.0,54000.0,54000.0,54000.0,346212.225,541020.375,7967.551
207000,0.0,0.0,0.0,57945.318,66529.68,72252.588,470.358
207001,0.0,0.0,0.0,59871.14,72849.92,81502.44,503.112
207002,0.0,0.0,0.0,0.0,49270.41,82117.35,205.293
207003,0.0,0.0,0.0,67281.9,76564.587,82753.045,543.292
207004,0.0,0.0,0.0,0.0,29141.56,48569.267,121.423
207005,0.0,66164.018,88580.8,94461.25,97088.05,98839.25,8998.054
207006,0.0,38081.138,50413.333,55351.85,57217.475,58461.225,5174.92
207007,0.0,0.0,65833.18,74936.899,77864.057,79815.496,2055.47
207008,0.0,26522.72,33141.46,33509.61,34643.91,35400.11,3521.39
207009,0.0,0.0,63047.18,73645.92,84492.747,91723.965,2016.101
207010,0.0,69135.253,86791.595,88607.333,91804.6,93936.111,9198.537
207011,0.0,0.0,55234.44,62507.492,66621.22,69363.705,1728.722
207012,0.0,34434.96,43204.227,44480.48,46072.48,47133.813,4583.653
207013,0.0,0.0,78971.16,88103.2,94491.1,98749.7,2464.241
207014,0.0,61189.847,76948.391,77933.707,80766.14,82654.429,8140.679
207015,0.0,0.0,15462.3,52846.44,59921.288,64637.853,773.729
207016,0.0,30994.25,40713.808,44308.013,45813.78,46817.625,4199.099
207017,0.0,0.0,0.0,76287.645,86433.66,93197.67,614.432
207018,0.0,0.0,19880.1,53244.44,60496.0,65330.373,876.85
207019,0.0,0.0,66065.347,75272.148,77887.273,79630.69,2061.908
207020,0.0,0.0,12885.25,61189.847,69237.672,74602.889,782.375
207021,0.0,0.0,45531.2,51371.187,55467.933,58199.097,1426.806
207022,0.0,0.0,34700.293,38606.531,44201.88,47932.113,1093.62
207023,0.0,0.0,36557.627,41288.52,44387.613,46453.675,1145.123
207024,0.0,0.0,22253.175,26920.72,30679.034,33184.577,718.261
207025,0.0,0.0,78971.16,88103.2,94491.1,98749.7,2464.241
207026,0.0,0.0,0.0,49270.41,56826.44,61863.793,401.012
207027,0.0,0.0,45199.533,50892.26,55434.767,58463.105,1417.609
207028,0.0,0.0,62350.68,69908.169,77515.807,82587.566,1958.9
207029,0.0,0.0,0.0,69737.062,83150.16,92092.225,578.916
207030,0.0,0.0,0.0,73905.615,85239.66,92795.69,601.517
207031,0.0,0.0,54836.44,61932.78,66581.42,69680.513,1717.685
207032,0.0,0.0,0.0,40066.162,46857.867,51385.67,328.795
207033,0.0,0.0,0.0,33905.62,38414.96,41421.187,273.081
207034,0.0,0.0,0.0,0.0,33376.28,55627.133,139.068
207035,0.0,2577.05,66297.513,75607.397,77910.49,79445.885,2313.165
