bid,wse_sA_0020_1218,wse_sA_0100_1218,wse_sA_0200_1218,wse_sA_0500_1218
311000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
308000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
309000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
303000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
305000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
297000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
298000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
295000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
296000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
319000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
254003,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
316000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
317000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
314000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
279000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
277000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
278000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
274000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
275000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
272000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
273000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
270000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
271000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
267000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
269000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
264000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
265000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
261000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
291001,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
254001,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
293000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
291000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
288000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
289000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
286000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
287000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
284000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
285000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
207004,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
282000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
241000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
237001,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
240000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
237000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
238000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
235000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
233000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
234000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
231000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
232000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
229000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
259000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
260000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
257000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
258000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
255000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
256000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
253000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
254000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
251000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
252000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
249000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
250000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
243000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
211000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
210000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
207000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
208000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
205000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
203000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
204000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
200000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
225000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
226000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
207003,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
221000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
220000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
207001,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
207002,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
218000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
215000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
213000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
214000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
177000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
173000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
174000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
195000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
196000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
193000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
194000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
191000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
192000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
189000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
190000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
188000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
183000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
181000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
182000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
180000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
144000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
136000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
134000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
131000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
129000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
162000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
159000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
151000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
145000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
146000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
105000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
106000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
98000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
97000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
94000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
93000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
127000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
124000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
123000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
119000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
114000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
111000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
112000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
109000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
110000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
73000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
