nestID,bidx,xid,felv,fscale,wse_sA_0020_1218_dep,wse_sA_0100_1218_dep,wse_sA_0200_1218_dep,wse_sA_0500_1218_dep
f0,0,1,0.0,1440.27,0.0,0.0,0.0,0.0
f0,1,2,0.0,2578.13,0.0,0.0,0.0,0.0
f0,2,3,0.0,520.51,0.0,0.0,0.0,0.0
f0,3,4,0.0,735542.09,0.0,0.0,0.0,0.0
f0,4,5,0.0,2900.33,0.0,0.0,0.0,0.0
f0,5,6,0.0,1465.29,0.0,0.0,0.0,0.0
f0,6,7,0.0,2541.51,0.0,0.0,0.0,0.0
f0,7,8,0.0,872.94,0.0859,0.1432,0.2005,0.4582
f0,8,9,0.0,9502.54,0.0,0.0,0.0,0.0
f0,9,10,0.0,2053.99,0.0852,0.3651,0.5112,0.7546
f0,10,11,0.0,8177.73,0.3944,0.4586,0.5166,0.9385
f0,11,12,0.0,15423.33,0.0064,0.1005,0.1297,0.1718
f0,12,13,0.0,20232.98,0.0025,0.0124,0.0173,0.0222
f0,13,14,0.0,13431.46,0.054,0.188,0.2327,0.3127
f0,14,15,0.0,4664.57,0.2251,0.2305,0.2573,0.2626
f0,15,16,0.0,5534.54,0.009,0.14,0.3794,0.4924
f0,16,17,0.0,35222.58,0.0,0.0,0.0014,0.0603
f0,17,18,0.0,1716.43,0.0,0.0,0.0,0.0874
f0,18,19,0.0,32821.81,0.0,0.0,0.0,0.0
f0,19,20,0.0,7921.77,0.0,0.0,0.0,0.0
f0,20,21,0.0,10211.58,0.0,0.0,0.0,0.0
f0,21,22,0.0,762.16,0.0,0.0,0.0,0.0
f0,22,23,0.0,112854.66,0.0,0.0,0.0,0.0029
f0,23,24,0.0,2246.67,0.0,0.0,0.0,0.0
f0,24,25,0.0,674.31,0.0,0.0,0.0,0.0
f0,25,26,0.0,39154.54,0.0,0.0,0.0,0.0
f0,26,27,0.0,1596.11,0.0,0.0,0.0,0.0
f0,27,28,0.0,29474.87,0.0,0.0,0.0,0.0
f0,28,29,0.0,3718.13,0.0,0.0,0.0,0.2757
f0,29,30,0.0,959.25,0.0407,0.1564,0.1564,0.2346
f0,30,31,0.0,2827.83,0.0,0.0,0.0,0.0
f0,31,32,0.0,1191.39,0.0,0.0211,0.042,0.3567
f0,32,33,0.0,3159.35,0.0317,0.0633,0.0791,0.1187
f0,33,34,0.0,832.73,0.1201,0.1801,0.5104,1.0
f0,34,35,0.0,963.9,0.1816,0.2334,0.2594,0.3112
f0,35,36,0.0,9094.72,0.1704,0.2337,0.2941,0.8027
f0,36,37,0.0,13087.66,0.0,0.0,0.0,0.0
f0,37,38,0.0,158.45,0.0,0.0,0.0,0.0
f0,38,39,0.0,2265.68,0.0,0.0,0.0,0.0
f0,39,40,0.0,728.13,0.0037,0.0144,0.0391,0.0687
f0,40,41,0.0,17823.7,0.0,0.0007,0.0027,0.0463
f0,41,42,0.0,29708.78,0.0,0.0,0.0,0.0
f0,42,43,0.0,6470.02,0.0,0.0,0.0,0.0
f0,43,44,0.0,8926.48,0.0053,0.014,0.014,0.0616
f0,44,45,0.0,36153.6,0.1936,0.2718,0.3762,0.4267
f0,45,46,0.0,5710.4,0.0306,0.0963,0.127,0.4203
f0,46,47,0.0,1692.57,0.0,0.0033,0.0739,0.4283
f0,47,48,0.0,46320.65,0.0621,0.1241,0.1333,0.1635
f0,48,49,0.0,15486.73,0.0032,0.0113,0.021,0.0404
f0,49,50,0.0,770.05,0.0,0.0,0.0,0.0
f0,50,51,0.0,6888.69,0.0,0.0,0.0,0.0
f0,51,52,0.0,167297.98,0.0046,0.0076,0.0094,0.013
f0,52,53,0.0,3336.06,0.0,0.1199,0.2473,0.3747
f0,53,54,0.0,1421.27,0.0002,0.0002,0.0192,0.0528
f0,54,55,0.0,12096.47,0.0,0.0,0.0,0.0
f0,55,56,0.0,6328.88,0.0,0.0,0.0,0.0
f0,56,57,0.0,1093.61,0.0,0.0,0.0,0.1829
f0,57,58,0.0,575.45,0.0,0.0,0.0,0.1738
f0,58,59,0.0,1350.48,0.0,0.0,0.0,0.0
f0,59,60,0.0,6098.76,0.0,0.0,0.0,0.0
f0,60,61,0.0,291.76,0.0,0.0,0.0,0.0
f0,61,62,0.0,2716.97,0.0,0.0,0.0,0.0
f0,62,63,0.0,2184.32,0.0,0.0,0.0,0.0
f0,63,64,0.0,461.7,0.0,0.0,0.0,0.0
f0,64,65,0.0,861.7,0.0,0.0,0.0,0.0
f0,65,66,0.0,4205.35,0.0,0.0,0.0,0.0
f0,66,67,0.0,274.02,0.0,0.0,0.0,0.0
f0,67,68,0.0,376.73,0.0,0.0,0.0,0.0
f0,68,69,0.0,3401.17,0.0,0.0147,0.1617,0.2499
f0,69,70,0.0,12561.74,0.0,0.0,0.0,0.0
f0,70,71,0.0,1214.62,0.0,0.0,0.0,0.0
f0,71,72,0.0,1413.85,0.0,0.0,0.0,0.1238
f0,72,73,0.0,542.98,0.0,0.0,0.0,0.0
f0,73,74,0.0,635.42,0.0,0.0,0.0,0.0
f0,74,75,0.0,633.58,0.0,0.0,0.0,0.0
f0,75,76,0.0,376.19,0.0,0.0,0.0,0.0
f0,76,77,0.0,644.72,0.0,0.0,0.0,0.0388
f0,77,78,0.0,1231.85,0.0,0.0,0.0,0.0
f0,78,79,0.0,181.96,0.0,0.0,0.0,0.0
f0,79,80,0.0,179.88,0.0,0.0,0.0,0.0
f0,80,81,0.0,1240.86,0.0,0.0,0.0,0.0
f0,81,82,0.0,1385.19,0.0,0.0,0.0,0.0
f0,82,83,0.0,322.61,0.0,0.0,0.0,0.0
f0,83,84,0.0,265.19,0.0,0.0,0.0,0.0
f0,84,85,0.0,248.72,0.0,0.0,0.0,0.0
f0,85,86,0.0,265.19,0.0,0.0,0.0,0.0
f0,86,87,0.0,244.43,0.0,0.0,0.0,0.0
f0,87,88,0.0,438.34,0.0,0.0,0.0,0.0
f0,88,89,0.0,6569.96,0.0,0.0,0.0,0.0
f0,89,90,0.0,1779.44,0.0,0.0,0.0,0.0
f0,90,91,0.0,795.26,0.0,0.0,0.0,0.0
f0,91,92,0.0,1158.83,0.0,0.0,0.0,0.0
f0,92,93,0.0,394.65,0.0,0.0,0.0,0.0
f0,93,94,0.0,7338.47,0.0,0.0,0.0,0.0
f0,94,95,0.0,378.65,0.0,0.0,0.0,0.0
f0,95,96,0.0,2867.44,0.0,0.0,0.0,0.0
f0,96,97,0.0,6543.0,0.0,0.0,0.0,0.0
f0,97,98,0.0,7063.74,0.0,0.0,0.0,0.0
f0,98,99,0.0,7533.95,0.0,0.0,0.0,0.0
f0,99,100,0.0,7071.41,0.0,0.0,0.0,0.0
f0,100,101,0.0,407.11,0.0,0.0,0.0,0.0
f0,101,102,0.0,4760.98,0.0,0.0,0.0,0.0
f0,102,103,0.0,475.66,0.0,0.0819,0.7358,0.7358
f0,103,104,0.0,104.91,0.0,0.0,0.0,0.7149
f0,104,105,0.0,226.11,0.0,0.0,0.0358,0.0529
f0,105,106,0.0,240.57,0.0,0.0,0.0,0.0
f0,106,107,0.0,393.44,0.0,0.0,0.0,0.0
f0,107,108,0.0,1113.94,0.0,0.0,0.0,0.0
f0,108,109,0.0,1733.68,0.0,0.0,0.0,0.0
f0,109,110,0.0,1342.7,0.0,0.0,0.0,0.0
f0,110,111,0.0,9821.27,0.0535,0.0662,0.224,0.3055
f0,111,112,0.0,4494.82,0.0,0.0,0.0834,0.0501
f0,112,113,0.0,1670.84,0.0091,0.8678,0.9726,0.9726
f0,113,114,0.0,264.63,0.0,0.0,0.0,0.0
