xid,0.2,0.05,0.01,0.005,0.002,0.0,ead
112,0.0,0.0,0.0,374.86799,225.19048,125.40547,2.18785
113,0.0,15.20464,1449.95495,1625.05898,1625.05898,1625.05898,46.25637
114,,0.0,0.0,0.0,0.0,,0.0
115,,0.0,0.0,0.0,0.0,,0.0
116,,0.0,0.0,0.0,0.0,,0.0
117,,0.0,0.0,0.0,0.0,,0.0
118,,0.0,0.0,0.0,0.0,,0.0
119,,0.0,0.0,0.0,0.0,,0.0
120,,0.0,0.0,0.0,0.0,,0.0
121,,0.0,0.0,0.0,0.0,,0.0
122,,0.0,0.0,0.0,0.0,,0.0
123,,0.0,0.0,0.0,0.0,,0.0
124,,0.0,0.0,0.0,0.0,,0.0
125,,0.0,0.0,0.0,0.0,,0.0
126,,0.0,0.0,0.0,0.0,,0.0
127,0.0,0.0,0.0,0.0,125.23834,208.73057,0.52183
128,,0.0,0.0,0.0,0.0,,0.0
129,,0.0,0.0,0.0,0.0,,0.0
130,,0.0,0.0,0.0,0.0,,0.0
131,,0.0,0.0,0.0,0.0,,0.0
132,,0.0,0.0,0.0,0.0,,0.0
133,,0.0,0.0,0.0,0.0,,0.0
134,,0.0,0.0,0.0,0.0,,0.0
135,0.0,26.86,75.05,75.05,150.1,200.13333,5.11591
136,,0.0,0.0,0.0,0.0,,0.0
137,0.0,49.84294,125.13758,125.13758,199.90199,249.74493,8.80073
138,0.0,4.53013,41.83705,74.88032,99.92925,116.62854,2.03767
139,0.0,0.0,0.0,27.16914,100.04638,148.63121,0.50742
140,,0.0,0.0,0.0,0.0,,0.0
141,0.0,0.0,0.0,0.0,199.67631,332.79385,0.83198
142,0.0,0.0,202.13073,454.79414,15665.13142,25805.35627,71.3353
143,,0.0,0.0,0.0,0.0,,0.0
144,0.0,0.0,5.06844,5.8482,35.47908,55.233,0.28136
145,,0.0,0.0,0.0,0.0,,0.0
146,,0.0,0.0,0.0,0.0,,0.0
147,0.0,0.0,0.0,49.84787,1675.1115,2758.62059,7.14579
148,0.0,974.89319,1724.81103,1999.96886,2575.09382,2958.51046,148.81922
149,,0.0,0.0,0.0,0.0,,0.0
150,,0.0,0.0,0.0,0.0,,0.0
151,0.0,18.82143,375.08425,600.26924,650.0116,683.17317,14.93671
152,,0.0,0.0,0.0,0.0,,0.0
153,0.0,475.04503,1600.06141,2599.88542,2400.09212,2266.89659,99.79733
154,0.0,1150.04481,2725.06566,3199.7465,3624.72254,3908.0399,196.33707
155,0.0,25.2576,175.09085,199.92036,399.84073,533.12098,8.67142
156,0.0,110.35324,1001.0615,2448.79086,6350.56599,8951.74941,67.63077
157,0.0,0.0,14.54495,19.11622,324.97574,528.88209,1.74505
158,0.0,124.97682,1024.94215,1300.0234,1924.90748,2341.49687,47.28786
159,,0.0,0.0,0.0,0.0,,0.0
160,,0.0,0.0,0.0,0.0,,0.0
161,0.0,5724.93809,10250.5297,10749.89788,10749.89788,10749.89788,855.13027
162,,0.0,0.0,0.0,0.0,,0.0
163,0.0,3.96979,15.21754,34.40486,41.02118,45.43206,1.00513
164,,0.0,0.0,0.0,0.0,,0.0
165,,0.0,0.0,0.0,0.0,,0.0
166,,0.0,0.0,0.0,0.0,,0.0
